species	compartment	IC_Xinitialized	HGNC	Annotation	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
Ribosome	Cytoplasm	1897.37186551247		GO:0005840											
p53inac	Nucleus	296.618650961599	TP53 	ENSG00000141510											
p53ac	Nucleus	6.24613433009406	TP53 	ENSG00000141510											
MDM2	Nucleus	205.618521300962	MDM2	ENSG00000135679											
Wip1	Nucleus	2.2307304083398	PPM1D 	ENSG00000170836											
ATMP	Nucleus	7.08565286602221E-76	ATM	ENSG00000149311											
ATRac	Nucleus	2.44763057311649E-108	ATR 	ENSG00000175054											
MDM2product1	Nucleus	6.24613433009406													
MDM2product2	Nucleus	6.24613433009406													
MDM2product3	Nucleus	6.24613433009406													
MDM2product4	Nucleus	6.24613433009406													
MDM2product5	Nucleus	6.24613433009406													
MDM2product6	Nucleus	6.24613433009405													
MDM2product7	Nucleus	6.24613433009406													
MDM2product8	Nucleus	6.24613433009406													
MDM2product9	Nucleus	6.24613433009406													
MDM2pro	Nucleus	6.24613433009405													
Wip1product1	Nucleus	6.24613433009406													
Wip1product2	Nucleus	6.24613433009406													
Wip1product3	Nucleus	6.24613433009406													
Wip1product4	Nucleus	6.24613433009405													
Wip1product5	Nucleus	6.24613433009405													
Wip1product6	Nucleus	6.24613433009405													
Wip1product7	Nucleus	6.24613433009405													
Wip1product8	Nucleus	6.24613433009405													
Wip1product9	Nucleus	6.24613433009405													
Wip1pro	Nucleus	6.24613433009405													
BRCA2	Nucleus	0.82179664437231	BRCA2	ENSG00000139618											
MSH6	Nucleus	45.5036566788438	MSH6	ENSG00000116062											
MGMT	Nucleus	120.255181570081	MGMT	ENSG00000170430											
damageDSB	Nucleus	0.00024395068923264													
damageSSB	Nucleus	6.04727506302367E-06													
ppAKT_MDM2	Nucleus	0	AKT1, AKT2, MDM2	ENSG00000142208	ENSG00000105221	ENSG00000135679									
pMDM2	Nucleus	0	MDM2	ENSG00000135679											
ARF	Nucleus	0	CDKN2A	ENSG00000147889											
MDM4	Nucleus	0.0272156876810931	MDM4	ENSG00000198625											
p53ac_MDM4	Nucleus	0	TP53, MDM4	ENSG00000141510	ENSG00000198625										
ATMinac	Nucleus	1.50375950178936	ATM	ENSG00000149311											
ATRinac	Nucleus	2.40032400754645	ATR 	ENSG00000175054											
pRB	Nucleus	7983.14000738792	RB1	ENSG00000139687											
pRBp	Nucleus	0.53549288633202	RB1	ENSG00000139687											
pRBpp	Nucleus	0.00697119637905208	RB1	ENSG00000139687											
E2F	Nucleus	1117.20752932686	E2F1, E2F2, E2F3	ENSG00000101412	ENSG00000007968	ENSG00000112242									
Cd	Nucleus	0.233311597885332	CCND1, CCND2, CCND3	ENSG00000110092	ENSG00000118971	ENSG00000112576									
Mdi	Nucleus	0.589117168185311	CCND1, CCND2, CCND3, CDK4, CDK6	ENSG00000110092	ENSG00000118971	ENSG00000112576	ENSG00000135446	ENSG00000105810							
Md	Nucleus	3.85369761018949	CCND1, CCND2, CCND3, CDK4, CDK6	ENSG00000110092	ENSG00000118971	ENSG00000112576	ENSG00000135446	ENSG00000105810							
Mdp27	Nucleus	0.787522147025793	CCND1, CCND2, CCND3, CDK4, CDK6, CDKN1B	ENSG00000110092	ENSG00000118971	ENSG00000112576	ENSG00000135446	ENSG00000105810	ENSG00000111276						
Ce	Nucleus	0.255339230538974	CCNE1, CCNE2	ENSG00000105173	ENSG00000175305										
Mei	Nucleus	0.889568947567827	CCNE1, CCNE2, CDK2	ENSG00000105173	ENSG00000175305	ENSG00000123374									
Me	Nucleus	2.74665518276516	CCNE1, CCNE2, CDK2	ENSG00000105173	ENSG00000175305	ENSG00000123374									
Skp2	Nucleus	11.4089630065425	SKP2 	ENSG00000145604											
Mep27	Nucleus	1.12258511459304	CCNE1, CCNE2, CDK2, CDKN1B	ENSG00000105173	ENSG00000175305	ENSG00000123374	ENSG00000111276								
Pe	Nucleus	141.288140230457	CDC25A	ENSG00000164045											
Pai	Nucleus	49.1750038900141	CDC25B	ENSG00000101224											
Pei	Nucleus	16.0225660174972	CDC25A	ENSG00000164045											
Pbi	Nucleus	55.2982147485823	CDC25C	ENSG00000158402											
Ca	Nucleus	4.02909250940112	CCNA2	ENSG00000145386											
Mai	Nucleus	14.036838662339	CCNA2, CDK2	ENSG00000145386	ENSG00000123374										
Ma	Nucleus	5.2353560850049	CCNA2, CDK2	ENSG00000145386	ENSG00000123374										
Map27	Nucleus	1.2838449506886	CCNA2, CDK2, CDKN1B	ENSG00000145386	ENSG00000123374	ENSG00000111276	ENSG00000111276								
p27	Nucleus	20.4354940808931	CDKN1B 	ENSG00000111276											
Cdh1i	Nucleus	0.598588463220885	CDH1	ENSG00000039068											
Cdh1a	Nucleus	108.802884553726	CDH1	ENSG00000039068											
E2Fp	Nucleus	11.6050799245915	E2F1, E2F2, E2F3	ENSG00000101412	ENSG00000007968	ENSG00000112242									
p27p	Nucleus	4.20462591134649	CDKN1B 	ENSG00000111276											
Pa	Nucleus	41.6497195895985	CDC25B	ENSG00000101224											
Cb	Nucleus	3.44366943134424	CCNB1	ENSG00000134057											
Mbi	Nucleus	3.90112492680233	CCNB1, CDK1	ENSG00000134057	ENSG00000170312										
Mb	Nucleus	0.684271964515158	CCNB1, CDK1	ENSG00000134057	ENSG00000170312										
Cdc20i	Nucleus	71.1674730054819	CDC20	ENSG00000117399											
Cdc20a	Nucleus	0.730146344773894	CDC20	ENSG00000117399											
