gene	Exp GCN	Exp RNA	kGin	kGac	kTCleak	kTCmaxs	kTCd	mRNA params
TP53	2	8	0.005	0.0005	7.247048E-04	0.1	1.647056E-05	k3_2
MDM2	2	50	0.005	0.0005	1.654648E-02	0.1	6.016903E-05	k4_3
PPM1D	2	2	0.005	0.0005	9.540314E-04	0.1	8.673013E-05	k5_2
ATM	2	3	0.005	0.0005	2.156772E-04	0.1	1.307134E-05	k6_2
ATR	2	2	0.005	0.0005	1.935969E-04	0.1	1.759972E-05	k7_2
RB1	2	10	0.005	0.0005	2.812902E-03	0.1	3.008451E-05	k8_2
E2F1	2	0	0.005	0.0005	4.500643E-03	0.1	4.813522E-05	k9_2
E2F2	2	1	0.005	0.0005	7.378104E-03	0.1	7.891020E-05	k10_2
E2F3	2	2	0.005	0.0005	7.469947E-03	0.1	7.989248E-05	k11_2
CCND1	2	6	0.005	0.0005	4.538279E-04	0.1	1.375292E-05	k12_5
CCND2	2	1	0.005	0.0005	7.562257E-05	0.1	1.375292E-05	k13_5
CCND3	2	2	0.005	0.0005	1.512636E-04	0.1	1.375292E-05	k14_5
CCNE1	2	1	0.005	0.0005	1.200172E-02	0.1	1.283606E-04	k15_4
CCNE2	2	2	0.005	0.0005	1.200172E-02	0.1	1.283606E-04	k16_4
SKP2	2	2	0.005	0.0005	6.383891E-03	0.1	6.827691E-05	k17_2
CDC25A	2	1	0.005	0.0005	4.865560E-03	0.1	5.203808E-05	k18_2
CDC25B	2	1	0.005	0.0005	2.066885E-03	0.1	2.210573E-05	k19_2
CDC25C	3	10	0.005	0.0005	4.858994E-03	0.1	7.795177E-05	k20_2
CCNA2	2	5	0.005	0.0005	1.200172E-02	0.1	1.283606E-04	k21_4
CDKN1B	2	2	0.005	0.0005	8.373290E-03	0.1	8.955390E-05	k22_5
CDH1	2	15	0.005	0.0005	2.112978E-03	0.1	2.259870E-05	k23_2
CCNB1	2	87	0.005	0.0005	1.200172E-02	0.1	1.283606E-04	k24_2
CDC20	2	12	0.005	0.0005	2.000286E-03	0.1	2.139343E-05	k25_2
WEE1	2	7	0.005	0.0005	8.109267E-03	0.1	8.673013E-05	k26_2
CHEK1	2	10	0.005	0.0005	3.061662E-03	0.1	3.274505E-05	k27_2
CDKN1A	2	12	0.005	0.0005	1.268336E-02	0.1	1.925409E-04	k28_2
CDK1	2	44	0.005	0.0005	5.235381E-03	0.1	2.163381E-05	k29_2
CDK2	2	2	0.005	0.0005	4.487182E-04	0.1	4.079256E-05	k30_2
CDK4	2	11	0.005	0.0005	1.110460E-03	0.1	1.835471E-05	k31_2
CDK6	2	7	0.005	0.0005	1.594156E-03	0.1	4.140664E-05	k32_2
TNFSF10	2	0	0.005	0.0005	0.000000E+00	0	0.000000E+00	k33_2
TNFRSF10A	2	1	0.005	0.0005	3.383306E-04	0.1	6.151466E-05	k34_2
TNFRSF10B	2	13	0.005	0.0005	4.398298E-03	0.1	6.151466E-05	k35_2
CFLAR	2	10	0.005	0.0005	2.909272E-03	0.1	5.289585E-05	k36_2
CASP8	2	8	0.005	0.0005	1.433469E-03	0.1	3.257883E-05	k37_2
CASP10	2	5	0.005	0.0005	8.959178E-04	0.1	3.257883E-05	k38_2
BFAR	2	36	0.005	0.0005	1.162289E-02	0.1	5.870149E-05	k39_2
CASP3	2	13	0.005	0.0005	2.195642E-03	0.1	3.070827E-05	k40_2
CASP7	2	23	0.005	0.0005	3.805691E-03	0.1	3.008451E-05	k41_2
CASP6	2	27	0.005	0.0005	3.387716E-03	0.1	2.281290E-05	k42_2
XIAP	2	5	0.005	0.0005	2.013260E-03	0.1	7.320946E-05	k43_2
PARP1	4	21	0.005	0.0005	6.059529E-04	0.1	1.049269E-05	k44_2
BID	2	15	0.005	0.0005	2.525377E-03	0.1	3.061063E-05	k45_2
BCL2	2	0	0.005	0.0005	0.000000E+00	0	7.027040E-05	k46_2
BCL2L1	2	3	0.005	0.0005	5.776227E-04	0.1	3.500743E-05	k47_2
MCL1	3	21	0.005	0.0005	5.930259E-03	0.1	7.701635E-05	k48_2
BAX	2	3	0.005	0.0005	3.117688E-04	0.1	1.889508E-05	k49_2
CYCS	2	92	0.005	0.0005	9.860899E-03	0.1	1.948794E-05	k50_2
