	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373	374	375	376	377	378	379	380	381	382	383	384	385	386	387	388	389	390	391	392	393	394	395	396	397	398	399	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417	418	419	420	421	422	423
0	8641	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	4	2	2	2	3	2	2	2	2	2	1	2	2	1	2	1	0	2	2	2	2	2	2	1	3	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	3	1	2	3	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	1	2	2	2	0	3	2	2	3	2	1	1	1	2	2	1	2	2	2	1	2	14	58	1	3	3	17	17	17	17	9	1	1	17	17	17	17	17	17	17	17	17	17	17	17	17	12	44	2	11	7	0	0	10	14	7	1	37	11	15	19	5	20	11	0	5	20	3	91	9	2	2	21	0	3	3	0	0	8	2	9	0	0	21	0	3	1	0	0	2	8	0	2	2	1	0	0	2	0	15	3	6	0	2	11	9	3	1	5	0	4	5	0	0	1	4	0	3	2	7	1	24	21	0	3	1	3	0	4	8	0	3	1	0	2	50	7	1	3	37	0	5	3	33	3	0	8	1	4	0	0	59	0	5	0	0	1	4	2	10	2	0
1	6316	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	3	2	2	1	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	3	1	2	3	2	0	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	0	2	0	4	2	2	3	2	2	2	2	2	2	2	2	1	2	2	2	12	41	2	2	2	17	17	17	17	7	1	3	17	17	17	17	17	17	17	17	17	17	17	17	17	12	44	2	11	7	0	0	13	11	11	10	37	14	21	34	1	26	17	0	1	37	2	97	9	1	3	11	0	2	6	0	0	9	2	19	0	0	21	0	1	1	0	2	5	9	2	1	2	0	0	0	0	2	13	1	4	0	0	9	4	3	1	5	0	0	5	0	0	1	1	2	1	0	12	7	27	21	1	3	2	10	0	4	10	0	1	2	0	4	32	3	3	5	47	1	4	0	38	0	0	8	3	2	0	0	35	2	2	0	0	6	6	1	4	6	0
2	8641	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	1	2	4	1	2	2	3	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	2	2	2	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	1	3	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	1	2	0	4	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	8	47	1	5	2	17	17	17	17	5	2	1	17	17	17	17	17	17	17	17	17	17	17	17	17	12	44	2	11	7	0	3	10	15	9	5	36	7	28	33	8	25	15	0	7	11	1	90	12	0	2	12	0	13	2	0	0	13	4	11	0	0	20	0	0	0	0	2	3	3	1	1	1	2	0	0	7	1	10	0	7	0	1	4	3	0	6	9	1	6	1	1	3	0	5	1	1	0	7	1	30	25	1	2	3	8	0	3	10	2	5	2	0	2	40	5	4	6	39	0	0	3	30	4	0	5	2	0	0	0	46	5	1	0	0	2	5	3	3	4	0
3	8641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	4	2	2	3	2	1	2	1	2	2	2	2	2	2	1	2	9	43	1	3	1	17	17	17	17	9	0	3	17	17	17	17	17	17	17	17	17	17	17	17	17	12	44	2	11	7	0	0	12	12	5	7	29	13	31	31	2	19	19	0	7	21	1	112	6	2	1	14	1	4	8	0	0	4	2	18	0	0	18	0	1	0	0	4	1	3	1	0	4	2	0	0	2	1	10	2	6	0	1	17	3	3	4	5	0	0	3	0	1	4	4	0	1	0	16	2	23	21	0	1	1	2	2	6	4	0	1	1	0	2	41	6	1	6	30	0	4	0	39	3	0	5	0	0	0	0	45	2	1	0	0	0	1	2	10	2	0
4	8641	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	4	2	1	2	3	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	1	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	0	3	2	2	3	1	2	2	2	2	1	2	2	2	2	2	2	8	41	4	3	1	17	17	17	17	3	1	1	17	17	17	17	17	17	17	17	17	17	17	17	17	12	44	2	11	7	0	0	19	10	6	6	26	14	21	28	2	28	11	0	1	18	4	100	7	2	4	16	2	9	6	0	0	7	4	12	0	0	17	0	4	3	0	2	3	6	2	1	0	1	0	0	6	2	4	0	7	0	0	16	5	0	6	5	0	4	3	0	2	1	1	0	6	13	15	5	48	28	1	2	3	6	0	2	2	0	3	1	0	1	37	5	3	8	33	1	3	2	29	4	0	5	2	1	0	0	21	3	2	0	0	2	8	0	5	10	0
5	8641	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	2	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	0	1	2	3	1	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	1	2	2	2	1	2	2	2	1	2	1	1	2	2	1	2	2	2	2	2	1	2	2	2	2	1	1	2	2	3	0	2	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	0	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	7	62	2	3	1	17	17	17	17	10	1	4	17	17	17	17	17	17	17	17	17	17	17	17	17	12	44	2	11	7	0	5	8	10	9	6	52	19	28	32	3	19	9	0	3	22	1	101	15	1	2	11	2	3	3	0	0	4	2	20	0	0	16	0	4	1	0	2	4	7	1	0	1	5	0	0	1	1	4	0	6	0	0	13	8	2	6	6	2	1	2	0	1	3	1	2	3	4	1	4	39	24	1	3	4	2	0	2	0	0	3	0	0	4	36	4	0	1	18	2	4	1	19	6	0	17	2	2	0	0	49	1	1	0	0	6	5	2	3	2	0
6	8641	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	4	1	2	2	3	2	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	3	2	2	3	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	0	2	2	2	2	2	2	0	4	2	2	3	2	2	2	2	2	2	1	2	2	2	2	2	7	45	3	1	3	17	17	17	17	3	1	7	17	17	17	17	17	17	17	17	17	17	17	17	17	12	44	2	11	7	0	1	9	12	6	0	33	14	19	35	3	29	15	0	3	11	4	91	12	3	2	15	0	2	5	0	0	11	0	12	0	0	10	0	0	0	0	0	0	3	2	1	4	3	0	0	1	2	17	2	1	0	4	10	5	2	3	5	1	3	2	0	0	2	3	1	6	0	5	3	45	18	1	3	0	1	2	2	4	0	2	1	0	2	27	2	2	2	31	0	2	2	48	4	0	6	1	2	0	0	41	3	3	0	0	5	2	2	10	10	0
7	8641	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	4	2	2	2	2	1	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	0	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	13	38	3	2	1	17	17	17	17	8	2	1	17	17	17	17	17	17	17	17	17	17	17	17	17	12	44	2	11	7	0	0	6	20	8	9	29	17	28	29	5	21	9	0	1	21	6	95	10	3	6	14	2	2	3	0	0	12	2	24	0	0	17	0	2	0	0	4	6	5	1	0	1	3	0	0	1	0	8	1	4	0	2	16	6	5	4	7	1	2	1	1	1	2	4	0	2	0	7	0	40	35	1	6	1	5	1	3	6	1	0	2	0	3	37	7	1	2	28	1	5	1	58	2	0	6	1	2	0	0	42	3	4	0	0	5	9	2	2	6	0
8	8641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	4	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	1	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	2	1	2	2	2	0	2	2	2	3	2	2	2	2	2	1	2	2	2	2	2	1	14	82	1	2	4	17	17	17	17	8	3	4	17	17	17	17	17	17	17	17	17	17	17	17	17	12	44	2	11	7	0	3	12	7	9	7	57	13	28	29	5	24	13	0	2	19	5	103	7	2	3	16	0	7	2	0	0	5	6	15	0	0	21	0	0	1	0	1	2	6	1	0	2	2	0	0	2	0	5	3	6	0	0	17	6	2	3	12	0	2	2	1	0	1	1	1	3	7	1	1	43	38	0	4	2	9	1	1	4	1	6	4	0	6	43	11	3	9	29	1	7	2	54	5	0	9	0	1	0	0	40	4	3	0	0	6	6	1	5	1	0
9	8641	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	0	1	2	2	1	2	2	2	2	3	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	3	2	1	2	2	1	1	2	2	2	1	0	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	3	2	2	3	2	0	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	4	2	2	3	1	2	1	1	2	2	2	2	2	2	2	2	9	45	1	3	1	17	17	17	17	6	4	2	17	17	17	17	17	17	17	17	17	17	17	17	17	12	44	2	11	7	0	3	10	9	5	2	31	11	23	31	3	23	15	0	3	17	4	101	12	1	5	14	0	6	1	0	0	7	6	22	0	0	20	0	4	0	0	3	3	9	1	3	2	1	0	0	5	1	9	0	2	0	5	16	11	3	1	6	1	1	6	1	0	1	9	1	2	0	5	3	39	31	1	7	2	6	2	6	2	0	8	0	0	5	53	7	2	5	32	1	4	2	47	1	0	13	0	3	0	0	40	1	2	0	0	1	4	2	6	7	0
