gene	Exp GCN	Exp RNA	kGin	kGac	kTCleak	kTCmaxs	kTCd	mRNA params
TP53	2	8	0.005	0.0005	0.0007247047796	0.1	1.64705631727009e-05	k3_2
MDM2	2	50	0.005	0.0005	0.01654648217	0.1	6.0169026090273e-05	k4_3
PPM1D	2	2	0.005	0.0005	0.0009540314047	0.1	8.67301276976909e-05	k5_2
ATM	2	3	0.005	0.0005	0.0002156771607	0.1	1.30713430746011e-05	k6_2
ATR	2	2	0.005	0.0005	0.0001935968664	0.1	1.75997151269537e-05	k7_2
RB1	2	10	0.005	0.0005	0.00281290197	0.1	3.00845130451365e-05	k8_2
E2F1	2	0	0.005	0.0005	0.004500643152	0.1	4.81352208722184e-05	k9_2
E2F2	2	1	0.005	0.0005	0.007378103527	0.1	7.89101981511778e-05	k10_2
E2F3	2	2	0.005	0.0005	0.00746994714	0.1	7.98924827754663e-05	k11_2
CCND1	2	6	0.005	0.0005	0.0004538278809	0.1	1.37529202492053e-05	k12_5
CCND2	2	1	0.005	0.0005	7.562257403e-05	0.1	1.37529202492053e-05	k13_5
CCND3	2	2	0.005	0.0005	0.0001512636354	0.1	1.37529202492053e-05	k14_5
CCNE1	2	1	0.005	0.0005	0.01200171507	0.1	0.000128360588992582	k15_4
CCNE2	2	2	0.005	0.0005	0.01200171507	0.1	0.000128360588992582	k16_4
SKP2	2	2	0.005	0.0005	0.006383890995	0.1	6.82769090386077e-05	k17_2
CDC25A	2	1	0.005	0.0005	0.004865560164	0.1	5.20380766186145e-05	k18_2
CDC25B	2	1	0.005	0.0005	0.002066885489	0.1	2.21057271514206e-05	k19_2
CDC25C	3	10	0.005	0.0005	0.004858993956	0.1	7.79517746918517e-05	k20_2
CCNA2	2	5	0.005	0.0005	0.01200171507	0.1	0.000128360588992582	k21_4
CDKN1B	2	2	0.005	0.0005	0.008373289584	0.1	8.95538992971506e-05	k22_5
CDH1	2	15	0.005	0.0005	0.002112978005	0.1	2.2598695245173e-05	k23_2
CCNB1	2	87	0.005	0.0005	0.01200171507	0.1	0.000128360588992582	k24_2
CDC20	2	12	0.005	0.0005	0.002000285845	0.1	2.13934314987637e-05	k25_2
WEE1	2	7	0.005	0.0005	0.00810926694	0.1	8.67301276976909e-05	k26_2
CHEK1	2	10	0.005	0.0005	0.003061662008	0.1	3.27450482123935e-05	k27_2
CDKN1A	2	12	0.005	0.0005	0.01268335997	0.1	0.000192540883488874	k28_2
CDK1	2	44	0.005	0.0005	0.005235381326	0.1	2.16338071335813e-05	k29_2
CDK2	2	2	0.005	0.0005	0.0004487181607	0.1	4.07925600612021e-05	k30_2
CDK4	2	11	0.005	0.0005	0.001110459814	0.1	1.83547076729146e-05	k31_2
CDK6	2	7	0.005	0.0005	0.001594155702	0.1	4.14066416105105e-05	k32_2
TNFSF10	2	0	0.005	0.0005	0.0	0.0	0.0	k33_2
TNFRSF10A	2	1	0.005	0.0005	0.0003383306259	0.1	6.1514659261621e-05	k34_2
TNFRSF10B	2	13	0.005	0.0005	0.004398298137	0.1	6.1514659261621e-05	k35_2
CFLAR	2	10	0.005	0.0005	0.002909271591	0.1	5.28958471123279e-05	k36_2
CASP8	2	8	0.005	0.0005	0.001433468507	0.1	3.25788296935489e-05	k37_2
CASP10	2	5	0.005	0.0005	0.0008959178166	0.1	3.25788296935489e-05	k38_2
BFAR	2	36	0.005	0.0005	0.0116228948	0.1	5.87014888685591e-05	k39_2
CASP3	2	13	0.005	0.0005	0.002195641654	0.1	3.07082748786083e-05	k40_2
CASP7	2	23	0.005	0.0005	0.0038056909	0.1	3.00845130451365e-05	k41_2
CASP6	2	27	0.005	0.0005	0.003387715782	0.1	2.28129008873073e-05	k42_2
XIAP	2	5	0.005	0.0005	0.002013260189	0.1	7.32094614026136e-05	k43_2
PARP1	4	21	0.005	0.0005	0.0006059529167	0.1	1.04926911983037e-05	k44_2
BID	2	15	0.005	0.0005	0.002525377248	0.1	3.06106333050674e-05	k45_2
BCL2	2	0	0.005	0.0005	0.0	0.0	7.02703954338955e-05	k46_2
BCL2L1	2	3	0.005	0.0005	0.0005776226505	0.1	3.50074333616134e-05	k47_2
MCL1	3	21	0.005	0.0005	0.005930259211	0.1	7.70163533955495e-05	k48_2
BAX	2	3	0.005	0.0005	0.0003117688496	0.1	1.88950817947864e-05	k49_2
CYCS	2	92	0.005	0.0005	0.009860899499	0.1	1.94879436729629e-05	k50_2
DIABLO	2	9	0.005	0.0005	0.0006093845098	0.1	1.2310798177038e-05	k51_2
APAF1	2	2	0.005	0.0005	0.0003535809213	0.1	3.2143720115004e-05	k52_2
CASP9	2	2	0.005	0.0005	0.0003529916197	0.1	3.20901472481456e-05	k53_2
BAD	2	13	0.005	0.0005	0.00134967384	0.1	1.88765572047915e-05	k54_2
BBC3	2	1	0.005	0.0005	0.000444947374	0.1	8.0899530877678e-05	k55_2
PMAIP1	2	4	0.005	0.0005	0.001817982545	0.1	8.26355723128213e-05	k56_2
BCL2L11	2	3	0.005	0.0005	0.001201570048	0.1	8.26355723128213e-05	k57_2
EGF	2	0	0.005	0.0005	0.0	0.0	1.92540883488874e-05	k58_2
NRG1	2	0	0.005	0.0005	0.0	0.0	1.92540883488874e-05	k59_2
EGFR	2	8	0.005	0.0005	0.0009669567706	0.1	2.31419331116435e-05	k60_2
ERBB2	2	4	0.005	0.0005	0.0003487022176	0.1	1.81813865428587e-05	k61_2
ERBB3	2	17	0.005	0.0005	0.00185273843	0.1	2.03639221035297e-05	k62_2
ERBB4	2	0	0.005	0.0005	0.0	0.0	2.03639221035297e-05	k63_2
EGFRvIII	2	0	0.005	0.0005	0.0	0.0	2.31419331116435e-05	k64_2
MET	2	18	0.005	0.0005	0.001788629423	0.1	1.85850273637909e-05	k65_2
HGF	2	0	0.005	0.0005	0.0	0.0	1.92540883488874e-05	k66_2
PDGFRA	2	1	0.005	0.0005	0.0002349211351	0.1	5.20380766186145e-05	k67_2
PDGFRB	3	1	0.005	0.0005	0.0001395179946	0.1	5.20380766186145e-05	k68_2
PDGFB	2	0	0.005	0.0005	0.0	0.0	1.92540883488874e-05	k69_2
SPRY2	2	2	0.005	0.0005	0.003138669558	0.1	0.000287374452968468	k70_2
