	param_values
k1_1	0.0042005
k1_2	0.04
k1_3	5.0
k1_4	4.8641451156808895
k2	2.22319e-06
k3_1	140.7475
k3_2	0.00252998426666
k3_3	100.0
k4_1	5.00435622115912
k4_2	0.022519602995216
k4_3	0.015812401666619
k4_4	100.0
k5_1	0.15638613191122303
k5_2	0.000632496066665129
k5_3	100.0
k6_1	0.004535079666
k6_2	0.000948744099997575
k6_3	100.0
k7_1	0.02177822673
k7_2	0.0006324960666650911
k7_3	100.0
k8_1	70.1487
k8_2	0.005376216566654
k9_1	4.3917708333333305
k9_2	0.005376216566654
k10_1	4.3917708333333305
k10_2	0.005376216566653
k11_1	4.3917708333333305
k11_2	0.005376216566654
k12_1	26.9259
k12_2	0.011815841077737
k12_3	10.0
k12_4	200.0
k12_5	0.0018974881999949996
k12_6	100.0
k13_1	26.9259
k13_2	0.011815841077737
k13_3	10.0
k13_4	200.0
k13_5	0.00031624803333254504
k13_6	100.0
k14_1	26.9259
k14_2	0.011815841077737
k14_3	10.0
k14_4	200.0
k14_5	0.000632496066665087
k14_6	100.0
k15_1	0.1274
k15_2	10.0
k15_3	200.0
k15_4	0.00537621656665184
k16_1	0.1274
k16_2	10.0
k16_3	200.0
k16_4	0.00537621656665184
k17_1	13.1753
k17_2	0.00537621656665304
k18_1	11.4186
k18_2	0.0053762165666535
k19_1	9.2227
k19_2	0.005376216566653821
k20_1	10.5402
k20_2	0.00537621656665377
k21_1	0.03294
k21_2	10.0
k21_3	200.0
k21_4	0.00537621656665184
k22_1	70.2683
k22_2	0.0878
k22_3	10.0
k22_4	200.0
k22_5	0.00537621656665274
k23_1	9.6619
k23_2	0.0053762165666525
k24_1	4.3918
k24_2	0.00537621656665184
k25_1	8.7835
k25_2	0.00537621656665299
k26_1	5.2701
k26_2	0.00537621656665369
k27_1	0.008744
k27_2	0.00537621656665347
k28_1	0.5312
k28_2	0.00379497639998204
k29_1	0.2635
k29_2	0.0139149134666313
k30_1	0.1792
k30_2	0.000632496066665132
k31_1	0.0082295
k31_2	0.00347872836665761
k32_1	0.296215
k32_2	0.00221373623332779
k33_1	0.0
k33_2	0.0
k33_3	100.0
k34_1	0.006701183804000001
k34_2	0.000316248033332476
k34_3	100.0
k35_1	0.006964812793000001
k35_2	0.0041112244333227
k35_3	100.0
k36_1	0.04560789308
k36_2	0.0031624803333251197
k36_3	100.0
k37_1	0.031796863110000004
k37_2	0.00252998426666118
k37_3	100.0
k38_1	0.005187645698
k38_2	0.00158124016666276
k38_3	100.0
k39_1	0.0030109736709999996
k39_2	0.0113849291999785
k39_3	100.0
k40_1	0.02586756952
k40_2	0.00411122443332337
k40_3	100.0
k41_1	0.02314422426
k41_2	0.007273704766648121
k41_3	100.0
k42_1	0.004237083518
k42_2	0.00853869689997906
k42_3	100.0
k43_1	0.1414059452
k43_2	0.00158124016666345
k43_3	100.0
k44_1	0.34443295630000004
k44_2	0.00664120869998339
k44_3	100.0
k45_1	0.04293526182
k45_2	0.00474372049998871
k45_3	100.0
k46_1	0.02891032812
k46_2	0.0
k46_3	100.0
k47_1	0.103194896
k47_2	0.000948744099997686
k47_3	100.0
k48_1	0.4901751162
k48_2	0.00664120869998221
k48_3	100.0
k49_1	0.32753863
k49_2	0.0009487440999976039
k49_3	100.0
k50_1	0.07033182813
k50_2	0.0290948190665948
k50_3	100.0
k51_1	0.10852272630000001
k51_2	0.00284623229999295
k51_3	100.0
k52_1	0.008024529144
k52_2	0.000632496066665146
k52_3	100.0
k53_1	0.024769859879999998
k53_2	0.000632496066665035
k53_3	100.0
k54_1	0.1701828261
k54_2	0.00411122443332281
k54_3	100.0
k55_1	0.5658596776
k55_2	0.00031624803333251
k55_3	100.0
k56_1	0.028895059980000002
k56_2	0.00126499213333004
k56_3	100.0
k57_1	0.49676109079999997
k57_2	0.0009487440999979051
k57_3	100.0
k58_1	0.07122388437
k58_2	0.0
k58_3	100.0
k59_1	0.07122388437
k59_2	0.0
k59_3	100.0
k60_1	0.5191829231
k60_2	0.00252998426666031
k60_3	100.0
k61_1	0.05307132853999999
k61_2	0.00126499213333009
k61_3	100.0
k62_1	0.0060551010869999995
k62_2	0.0053762165666525604
k62_3	100.0
k63_1	0.017639782030000002
k63_2	0.0
k63_3	100.0
k64_1	0.033198243880000006
k64_2	0.0
k64_3	100.0
k65_1	0.014284992340000002
k65_2	0.00569246459998625
k65_3	100.0
k66_1	0.07122388437
k66_2	0.0
k66_3	100.0
k67_1	0.033195885730000006
k67_2	0.00031624803333252797
k67_3	100.0
k68_1	0.033195885730000006
k68_2	0.000316248033332437
k68_3	100.0
k69_1	0.07122388437
k69_2	0.0
k69_3	100.0
k70_1	0.0039209919829999995
k70_2	0.000632496066665871
k70_3	100.0
k71_1	0.05176995887
k71_2	0.000948744099997608
k71_3	100.0
k72_1	0.6184815443
k72_2	0.00158124016666269
k72_3	100.0
k73_1	0.030205656889999998
k73_2	0.00031624803333252797
k73_3	100.0
k74_1	0.03179076758
k74_2	0.00031624803333252797
k74_3	100.0
k75_1	0.014636180990000002
k75_2	0.00063249606666517
k75_3	100.0
k76_1	0.01108510757
k76_2	0.000632496066665165
k76_3	100.0
k77_1	0.002549622532
k77_2	0.0
k77_3	100.0
k78_1	0.002549622532
k78_2	0.0
k78_3	100.0
k79_1	0.09745450179
k79_2	0.000632496066665014
k79_3	100.0
k80_1	0.0054411898210000005
k80_2	0.00031624803333252797
k80_3	100.0
k81_1	4.918333171e-05
k81_2	0.0028462322999924603
k81_3	100.0
k82_1	0.027289230719999998
k82_2	0.000316248033332628
k82_3	100.0
k83_1	0.013959758440000001
k83_2	0.00158124016666275
k83_3	100.0
k84_1	0.2953444738
k84_2	0.0
k84_3	100.0
k85_1	0.2953444738
k85_2	0.000316248033332603
k85_3	100.0
k86_1	0.036084339439999995
k86_2	0.0044274724666560706
k86_3	100.0
k87_1	0.2077921941
k87_2	0.0025299842666612
k87_3	100.0
k88_1	1.012784368
k88_2	0.00094874409999759
k88_3	100.0
k89_1	0.0022179920079999998
k89_2	0.00126499213333025
k89_3	100.0
k90_1	0.06589920738
k90_2	0.00189748819999525
k90_3	100.0
k91_1	0.038718553839999996
k91_2	0.000316248033332458
k91_3	100.0
k92_1	0.2384682632
k92_2	0.0006324960666651679
k92_3	100.0
k93_1	0.4076120344
k93_2	0.000948744099997571
k93_3	100.0
k94_1	0.0008111826905
k94_2	0.000316248033332097
k94_3	100.0
k95_1	0.14551562839999999
k95_2	0.000316248033332549
k95_3	100.0
k96_1	0.007642617132999999
k96_2	0.000632496066665077
k96_3	100.0
k97_1	0.020378689380000002
k97_2	0.00126499213333014
k97_3	100.0
k98_1	0.126440839
k98_2	0.000316248033332549
k98_3	100.0
k99_1	0.0006845125532000001
k99_2	0.00094874410000599
k99_3	100.0
k100_1	0.3941679202
k100_2	0.000948744099995597
k100_3	100.0
k101_1	0.1648826936
k101_2	0.0022137362333214602
k101_3	100.0
k102_1	39.40505743
k102_2	0.000632496066666341
k102_3	100.0
k103_1	5.205329657
k103_2	0.0104361850999733
k103_3	100.0
k104_1	0.0006577275904999999
k104_2	0.00727370476664768
k104_3	100.0
k105_1	0.7378095407999999
k105_2	0.000316248033332535
k105_3	100.0
k106_1	0.1809170429
k106_2	0.0009487440999976119
k106_3	100.0
k107_1	0.1229969882
k107_2	0.000948744099997674
k107_3	100.0
k108_1	0.01636324783
k108_2	0.0012649921333310302
k108_3	100.0
k109_1	0.42393688170000005
k109_2	0.00031624803333254504
k109_3	100.0
k110_1	0.3710792589
k110_2	0.0009487440999975529
k110_3	100.0
k111_1	0.001418598488
k111_2	0.0012649921333301901
k111_3	100.0
k112_1	0.015303455369999998
k112_2	0.000316248033332548
k112_3	100.0
k113_1	0.007713443253000001
k113_2	0.000632496066665011
k113_3	100.0
k114_1	0.006884486862999999
k114_2	0.000316248033332505
k114_3	100.0
k115_1	0.006884486862999999
k115_2	0.0
k115_3	100.0
k116_1	0.08877329219
k116_2	0.000948744099997689
k116_3	100.0
k117_1	0.07496689975
k117_2	0.0117011772333044
k117_3	100.0
k118_1	0.6472172729
k118_2	0.0018974881999952698
k118_3	100.0
k119_1	0.08771170235999999
k119_2	0.000632496066665171
k119_3	100.0
k120_1	0.03933951233
k120_2	0.00126499213332964
k120_3	100.0
k121_1	0.1285294508
k121_2	0.00980368903330875
k121_3	100.0
k122_1	0.3704437692
k122_2	0.000316248033332548
k122_3	100.0
k123_1	0.15022606800000002
k123_2	0.0009487440999976699
k123_3	100.0
k124_1	0.055730597199999996
k124_2	0.0006324960666650559
k124_3	100.0
k125_1	0.06125023326
k125_2	0.0120174252666373
k125_3	100.0
k126_1	0.00942720148
k126_2	0.0009487440999976789
k126_3	100.0
k127_1	0.0123652577
k127_2	0.0
k127_3	100.0
k128_1	0.0015187573389999999
k128_2	0.00221373623332719
k128_3	100.0
k129_1	0.001835863087
k129_2	0.000316248033332538
k129_3	100.0
k130_1	0.001835863087
k130_2	0.000632496066665057
k130_3	100.0
k131_1	0.07122388437
k131_2	0.0
k131_3	100.0
k132_1	0.07122388437
k132_2	0.0
k132_3	100.0
k133_1	0.11900071849999999
k133_2	0.0120174252666374
k133_3	100.0
k134_1	0.005799863968
k134_2	0.000948744099997567
k134_3	100.0
k135_1	0.1138430441
k135_2	0.000632496066665044
k135_3	100.0
k136_1	0.07122388437
k136_2	0.0
k136_3	100.0
k137_1	0.07122388437
k137_2	0.0
k137_3	100.0
k138_1	0.01450361375
k138_2	0.00094874409999763
k138_3	100.0
k139_1	0.07574784286
k139_2	0.00158124016666266
k139_3	100.0
k140_1	0.047510869569999996
k140_2	0.000632496066665098
k140_3	100.0
k141_1	0.20233892280000002
k141_2	0.00158124016666266
k141_3	100.0
k142_1	0.013971777519999999
k142_2	0.00189748819999593
k142_3	100.0
k143_1	0.07122388437
k143_2	0.0
k143_3	100.0
k144	0.0
k145	0.0
k146	0.0
k147	7.70163533955495e-05
k148	5.54393560290451e-06
k149	5.60363456021169e-06
k150	0.0
k151	0.000260190383093073
k152	6.02631873204613e-06
k153	1.20866844625784e-05
k154	0.0
k155	0.0
k156	0.0
k157	0.0
k158	0.0
k159	0.0
k160	0.0
k161	0.0
k162	0.0
k163	0.0
k164	0.0
k165	0.0
k166	0.0
k167	0.0
k168	0.0
k169	0.0
k170	0.0
k171	2.68836754382678e-06
k172	0.000192540883488874
k173	2.33978470639049e-06
k174	2.85668966600703e-05
k175	2.32798971947606e-06
k176	5.32116083044643e-07
k177	2.85668966600703e-05
k178	2.50443396837765e-06
k179	2.8327333160052e-06
k180	0.000121962681612641
k181	2.47132439338819e-06
k182	1.32040106630691e-06
k183	2.09991147877493e-06
k184	6.0604621809529e-06
k185	2.33978470639049e-06
k186	9.24788105133879e-06
k187	2.75058404984105e-05
k188	0.000128360588992582
k189	6.41802944962912e-05
k190	0.0
k191	0.0
k192	0.0
k193	0.0
k194	0.0
k195	0.0
k196	0.0
k197	1.51487713209185e-05
k198	1.03963759983193e-05
k199	1.23305080684517e-05
k200	0.0
k201	0.0
k202	6.54678284559244e-06
k203	6.41802944962912e-05
k204	6.54678284559244e-06
k205	6.54678284559244e-06
k206	2.87374452968468e-05
k207	5.81694512050978e-05
k208	9.62704417444369e-05
k209	6.50695787390584e-06
k210	1.11812359749636e-05
k211	6.21701270548511e-06
k212	4.80991465123342e-06
k213	4.38876093476207e-06
k214	8.99303519331498e-06
k215	6.7764271523536e-06
k216	6.86361127276092e-06
k217	2.48921633469779e-06
k218	9.62223305791473e-06
k219	9.62223305791473e-06
k220	2.2182129434202e-06
k221	0.000256721177985165
k222	3.23028791408144e-06
k223	0.000256721177985165
k224	0.000256721177985165
k225	8.88636560155415e-05
k226	0.000385081766977747
k227	1.335234975651e-05
k228	1.44832919729858e-06
k229	5.75419460608279e-06
k230	7.00658236859075e-06
k231	7.24110129706182e-06
k232	5.15504373464187e-06
k233	5.85408584642365e-06
k234	3.68147004758841e-06
k235	5.35281855682162e-06
k236	3.17986595357347e-06
k237	5.92707044755652e-07
k238	3.43182783673566e-06
k239	4.14512128070772e-06
k240	8.4005621068444e-06
k241	2.54683708318616e-05
k242	6.41161783179733e-06
k243	3.02737238190053e-05
k244	4.99976326899179e-06
k245	1.66529046435629e-06
k246	0.001
k247	0.1
k248_1	0.000210657933712044
k249	1.66529046435628e-06
k250	1.66529046435628e-06
k251	0.0
k252_1	1.38888888888888e-06
k253_1	0.0005
k253_2	0.002777777777778
k253_3	4.0
k253_4	1000.0
k254_1	3.88888888888888e-08
k255_1	0.000555555555555555
k256_1	3.88888888888888e-07
k257	0.0
k258	0.0
k259_1	1.38888888888888e-07
k260_1	2.77777777777777e-08
k261_1	0.000277777777777777
k262	0.0
k263_1	0.000194444444444444
k264_1	2.77777777777777
k264_2	20.0
k264_3	2.0
k265_1	0.013888888888889
k265_2	4.0
k265_3	200.0
k266_1	0.002083333333333
k267_1	1.25
k267_2	20.0
k267_3	2.0
k268_1	0.002083333333333
k269_1	122.2128
k270_1	122.2128
k271_1	211.0104
k272_1	211.0104
k273_1	12.88008
k274_1	12.88008
k275_1	1213.38
k276_1	1213.38
k277_1	48.5856
k278_1	48.5856
k279_1	111.3804
k280_1	111.3804
k281_1	15.286320000000002
k282_1	15.286320000000002
k283_1	291.9924
k284_1	291.9924
k285_1	363.348
k286_1	363.348
k287_1	478.62
k288_1	478.62
k289_1	289.3572
k290_1	289.3572
k291_1	440.892
k292_1	440.892
k293_1	594.7919999999999
k294_1	594.7919999999999
k295_1	357.246
k296_1	357.246
k297_1	490.644
k298_1	490.644
k299_1	1026.18
k300_1	1026.18
k301_1	380.7
k302_1	380.7
k303_1	238.6764
k304_1	238.6764
k305_1	399.31199999999995
k306_1	399.31199999999995
k307_1	152.7624
k308_1	152.7624
k309_1	0.0
k310_1	0.0
k311_1	0.0
k312_1	0.0
k313_1	5e-05
k314_1	1e-05
k315_1	1e-05
k316_1	1e-06
k316_2	0.005
k316_3	0.0
k316_4	5000.0
k316_5	5.0
k316_6	20.0
k317_1	0.0
k318	2.36111111111111e-06
k319	0.002361111111111
k320_1	0.010388888888889001
k320_2	10.0
k321_1	0.944444444444444
k321_2	10.0
k322	4.72222222222222e-05
k323_1	0.0047222222222222205
k323_2	10.0
k324_1	0.944444444444444
k324_2	10.0
k325	1.18055555555556e-06
k326	0.00236111111111111
k327	0.000283333333333333
k328	0.000188888888888889
k329	0.0
k330_1	0.0188888888888889
k330_2	500.0
k331_1	0.3541666666666671
k331_2	500.0
k332	9.44444444444445e-06
k333	0.00519444444444445
k334	0.0
k335_1	8.26388888888889e-06
k335_2	150.0
k336	0.000472222222222222
k337_1	2.36111111111111
k337_2	10.0
k338	2.36111111111111e-05
k339_1	0.0944444444444444
k339_2	10.0
k340_1	0.472222222222222
k340_2	10.0
