gene,gcn,mrna_mpc,prot_mpc,kGin,kGac,kTCleak,kTCmaxs,kTCd,mRNA params,mRNA_half_Schwan_h,Prot_half_Schwan_h,kTLnatSchwan_h,mRNA_half_lit_h,Prot_half_lit_h,kTLnatLit_s,mRNA_half_user_h,Prot_half_user_h,kTLnat_user_s,kTLnat_Schwan_s,kTCd_s,kTLd_s,kTLnat_cells,kTLnat_s
TP53,2,8,1744,0.005,0.0005,0.0007247048,0.1,1.647056E-05,k3_2,0.685,,,11.69,,0,,,,,1.64705631727009E-05,0.000924196240747,0.201474780482758,0.201474780482758
MDM2,2,50,268,0.005,0.0005,0.01654648,0.1,6.016903E-05,k4_3,3.2,,,,,0,,,,,6.0169026090273E-05,0.000385081766978,0.002064038271001,0.002064038271001
PPM1D,2,2,0,0.005,0.0005,0.0009540314,0.1,8.673013E-05,k5_2,2.705,,,2.22,,0,,,,,8.67301276976909E-05,0,0,0
ATM,2,3,1585,0.005,0.0005,0.0002156772,0.1,1.307134E-05,k6_2,14.73,31.95,0.007833333,,,0,,,,2.17592583333333E-06,1.30713430746011E-05,6.02631873204613E-06,0.003183905063431,0.003183905063431
ATR,2,2,2530,0.005,0.0005,0.0001935969,0.1,1.759972E-05,k7_2,10.94,15.93,0.000786111,,,0,,,,2.18364166666667E-07,1.75997151269537E-05,1.20866844625784E-05,0.015289655845162,0.015289655845162
RB1,2,10,22645,0.005,0.0005,0.002812902,0.1,3.008451E-05,k8_2,6.4,,,,,0,,,,,3.00845130451365E-05,2.13934314987637E-05,0.048445425628951,0.048445425628951
E2F1,2,0,0,0.005,0.0005,0.004500643,0.1,4.813522E-05,k9_2,6.4,,,4,,0,,,,,4.81352208722184E-05,0.00016503504299,0,0.018979029943903
E2F2,2,1,0,0.005,0.0005,0.007378104,0.1,7.89102E-05,k10_2,6.4,,,2.44,,0,,,,,7.89101981511778E-05,0.00016503504299,0,0.018979029943903
E2F3,2,2,230,0.005,0.0005,0.007469947,0.1,7.989248E-05,k11_2,6.4,,,2.41,,0,,,,,7.98924827754663E-05,0.00016503504299,0.018979029943903,0.018979029943903
CCND1,2,6,0,0.005,0.0005,0.0004538279,0.1,1.375292E-05,k12_5,14,1.31,73.75,,,0,,,,0.020486111111111,1.37529202492053E-05,0.000146977773656,0,0.020486111111111
CCND2,2,1,0,0.005,0.0005,7.562257E-05,0.1,1.375292E-05,k13_5,14,1.31,73.75,,,0,,,,0.020486111111111,1.37529202492053E-05,0.000146977773656,0,0.020486111111111
CCND3,2,2,0,0.005,0.0005,0.0001512636,0.1,1.375292E-05,k14_5,14,1.31,73.75,,,0,,,,0.020486111111111,1.37529202492053E-05,0.000146977773656,0,0.020486111111111
CCNE1,2,1,0,0.005,0.0005,0.01200172,0.1,0.0001283606,k15_4,14,,,1.5,,0,,,,,0.000128360588993,0,0,0
CCNE2,2,2,0,0.005,0.0005,0.01200172,0.1,0.0001283606,k16_4,14,,,1.5,,0,,,,,0.000128360588993,0,0,0
SKP2,2,2,0,0.005,0.0005,0.006383891,0.1,6.827691E-05,k17_2,2.82,,,,,0,,,,,6.82769090386077E-05,0,0,0
CDC25A,2,1,0,0.005,0.0005,0.00486556,0.1,5.203808E-05,k18_2,2.82,,,3.7,,0,,,,,5.20380766186145E-05,0,0,0
CDC25B,2,1,0,0.005,0.0005,0.002066885,0.1,2.210573E-05,k19_2,2.82,,,8.71,,0,,,,,2.21057271514206E-05,0,0,0
CDC25C,3,10,8205,0.005,0.0005,0.004858994,0.1,7.795177E-05,k20_2,2.82,,,2.47,,0,,,,,7.79517746918517E-05,0.000192540883489,0.157979794902621,0.157979794902621
CCNA2,2,5,8044,0.005,0.0005,0.01200172,0.1,0.0001283606,k21_4,8.51,,,1.5,,0,,,,,0.000128360588993,0.000385081766978,0.6195195467138,0.6195195467138
CDKN1B,2,2,3216,0.005,0.0005,0.00837329,0.1,8.95539E-05,k22_5,11.02,,,2.15,,0,,,,,8.95538992971506E-05,3.20901472481456E-05,0.051600956775018,0.051600956775018
CDH1,2,15,117865,0.005,0.0005,0.002112978,0.1,2.25987E-05,k23_2,8.52,,,,,0,,,,,2.2598695245173E-05,0.000192540883489,1.51292208216107,1.51292208216107
CCNB1,2,87,39704,0.005,0.0005,0.01200172,0.1,0.0001283606,k24_2,8.51,,,1.5,,0,,,,,0.000128360588993,0.000128360588993,0.058579641670822,0.058579641670822
CDC20,2,12,14155,0.005,0.0005,0.002000286,0.1,2.139343E-05,k25_2,8.51,,,9,,0,,,,,2.13934314987637E-05,0.000385081766978,0.454236034297501,0.454236034297501
WEE1,2,7,2109,0.005,0.0005,0.008109267,0.1,8.673013E-05,k26_2,2.82,,,2.22,,0,,,,,8.67301276976909E-05,0.000462098120373,0.139223562266755,0.139223562266755
CHEK1,2,10,3501,0.005,0.0005,0.003061662,0.1,3.274505E-05,k27_2,5.88,7.71,,,,0,,,,,3.27450482123935E-05,2.40676104361092E-05,0.008426070413682,0.008426070413682
CDKN1A,2,12,23042,0.005,0.0005,0.01268336,0.1,0.0001925409,k28_2,11.02,14.78,31.25,1,0.5,0,,,,0.008680555555556,0.000192540883489,0.000385081766978,0.739421172891771,0.739421172891771
CDK1,2,44,1317167,0.005,0.0005,0.005235381,0.1,2.163381E-05,k29_2,8.9,21.88,,,,0,,,,,2.16338071335813E-05,8.79985756347686E-06,0.263429136075276,0.263429136075276
CDK2,2,2,87305,0.005,0.0005,0.0004487182,0.1,4.079256E-05,k30_2,4.72,46.9,,,,0,,,,,4.07925600612021E-05,4.10534932812098E-06,0.179208761545801,0.179208761545801
CDK4,2,11,3272,0.005,0.0005,0.00111046,0.1,1.835471E-05,k31_2,10.49,6.96,,,,0,,,,,1.83547076729146E-05,2.76639200415048E-05,0.008228758761437,0.008228758761437
