species	compartment	IC_Xinitialized
Ribosome	Cytoplasm	1897.392339
p53inac	Nucleus	296.6385721
p53ac	Nucleus	6.245527864
MDM2	Nucleus	205.6385147
Wip1	Nucleus	2.230735933
ATMP	Nucleus	0.0
ATRac	Nucleus	0.0
MDM2product1	Nucleus	6.245527864
MDM2product2	Nucleus	6.245527864
MDM2product3	Nucleus	6.245527864
MDM2product4	Nucleus	6.245527864
MDM2product5	Nucleus	6.245527864
MDM2product6	Nucleus	6.245527864
MDM2product7	Nucleus	6.245527864
MDM2product8	Nucleus	6.245527864
MDM2product9	Nucleus	6.245527864
MDM2pro	Nucleus	6.245527864
Wip1product1	Nucleus	6.245527864
Wip1product2	Nucleus	6.245527864
Wip1product3	Nucleus	6.245527864
Wip1product4	Nucleus	6.245527864
Wip1product5	Nucleus	6.245527864
Wip1product6	Nucleus	6.245527864
Wip1product7	Nucleus	6.245527864
Wip1product8	Nucleus	6.245527864
Wip1product9	Nucleus	6.245527864
Wip1pro	Nucleus	6.245527864
BRCA2	Nucleus	0.8218083552
MSH6	Nucleus	45.50431971
MGMT	Nucleus	120.2569436
damageDSB	Nucleus	0.0002431635144
damageSSB	Nucleus	6.027759555e-06
ppAKT_MDM2	Nucleus	0.0
pMDM2	Nucleus	0.0
ARF	Nucleus	0.0
MDM4	Nucleus	0.0272160891
p53ac_MDM4	Nucleus	0.0
ATMinac	Nucleus	1.503781046
ATRinac	Nucleus	2.400357094
pRB	Nucleus	7996.758533
pRBp	Nucleus	0.5355971957
pRBpp	Nucleus	0.006970861874
E2F	Nucleus	1119.216118
Cd	Nucleus	0.2333359492
Mdi	Nucleus	0.5891748805
Md	Nucleus	3.854191538
Mdp27	Nucleus	0.7878772692
Ce	Nucleus	0.2552851126
Mei	Nucleus	0.8894055369
Me	Nucleus	2.746015771
Skp2	Nucleus	11.40892522
Mep27	Nucleus	1.122685983
Pe	Nucleus	141.2864795
Pai	Nucleus	49.18781256
Pei	Nucleus	16.0234269
Pbi	Nucleus	55.29850419
Ca	Nucleus	4.029370131
Mai	Nucleus	14.0382025
Ma	Nucleus	5.230808438
Map27	Nucleus	1.283143827
p27	Nucleus	20.44208912
Cdh1i	Nucleus	0.5978504437
Cdh1a	Nucleus	108.8042991
E2Fp	Nucleus	11.60142524
p27p	Nucleus	4.204612531
Pa	Nucleus	41.62437487
Cb	Nucleus	3.4435003
Mbi	Nucleus	3.900947507
Mb	Nucleus	0.6842443681
Cdc20i	Nucleus	71.16781597
Cdc20a	Nucleus	0.7301152888
Pb	Nucleus	9.402991613
Wee1	Nucleus	26.51906331
Wee1p	Nucleus	16.74046835
Mbp27	Nucleus	0.08392430612
Chk1	Nucleus	0.1497549357
