	value	rxn	idx
k1_1	0.00421826292048	vbR	0
k1_2	0.04	vbR	1
k1_3	5.0	vbR	2
k1_4	4.864145	vbR	3
k2	2.22319e-06	vdR	0
k3_1	91.57652651258655	vTL1	0
k3_2	100.0	vTL1	1
k4_1	25.232002477660394	vTL2	0
k4_2	0.11354401114947175	vTL2	1
k4_3	100.0	vTL2	2
k5_1	0.26213516159818023	vTL3	0
k5_2	100.0	vTL3	1
k6_1	0.018979691769519035	vTL4	0
k6_2	100.0	vTL4	1
k7_1	0.004957174264683611	vTL5	0
k7_2	100.0	vTL5	1
k8_1	70.1487	vTL6	0
k9_1	4.391771	vTL7	0
k10_1	4.391771	vTL8	0
k11_1	4.391771	vTL9	0
k12_1	8.422824904511168	vTL10	0
k12_2	0.05192	vTL10	1
k12_3	10.0	vTL10	2
k12_4	200.0	vTL10	3
k12_5	100.0	vTL10	4
k13_1	8.422824904511168	vTL11	0
k13_2	0.05192	vTL11	1
k13_3	10.0	vTL11	2
k13_4	200.0	vTL11	3
k13_5	100.0	vTL11	4
k14_1	8.422824904511168	vTL12	0
k14_2	0.05192	vTL12	1
k14_3	10.0	vTL12	2
k14_4	200.0	vTL12	3
k14_5	100.0	vTL12	4
k15_1	0.1274	vTL13	0
k15_2	10.0	vTL13	1
k15_3	200.0	vTL13	2
k16_1	0.1274	vTL14	0
k16_2	10.0	vTL14	1
k16_3	200.0	vTL14	2
k17_1	13.1753	vTL15	0
k18_1	11.4186	vTL16	0
k19_1	9.2227	vTL17	0
k20_1	10.5402	vTL18	0
k21_1	0.03294	vTL19	0
k21_2	10.0	vTL19	1
k21_3	200.0	vTL19	2
k22_1	70.2683	vTL20	0
k22_2	0.0878	vTL20	1
k22_3	10.0	vTL20	2
k22_4	200.0	vTL20	3
k23_1	9.6619	vTL21	0
k24_1	4.3918	vTL22	0
k25_1	8.7835	vTL23	0
k26_1	5.2701	vTL24	0
k27_1	0.008744	vTL25	0
k28_1	0.5312	vTL26	0
k29_1	0.2952721774565515	vTL27	0
k30_1	0.02410011836848385	vTL28	0
k31_1	0.010764393922528735	vTL29	0
k32_1	2.366806820562372	vTL30	0
k33_1	0.0	vTL31	0
k33_2	100.0	vTL31	1
k34_1	0.017420371659008248	vTL32	0
k34_2	100.0	vTL32	1
k35_1	0.001967485478077817	vTL33	0
k35_2	100.0	vTL33	1
k36_1	0.04305927230330125	vTL34	0
k36_2	100.0	vTL34	1
k37_1	0.02345502354764331	vTL35	0
k37_2	100.0	vTL35	1
k38_1	0.0037175029469011175	vTL36	0
k38_2	100.0	vTL36	1
k39_1	1.60160119287079e-12	vTL37	0
k39_2	100.0	vTL37	1
k40_1	0.07592823863719945	vTL38	0
k40_2	100.0	vTL38	1
k41_1	0.01039743629268403	vTL39	0
k41_2	100.0	vTL39	1
k42_1	0.004698020679931045	vTL40	0
k42_2	100.0	vTL40	1
k43_1	0.41435438493120397	vTL41	0
k43_2	100.0	vTL41	1
k44_1	0.0649624436516162	vTL42	0
k44_2	100.0	vTL42	1
k45_1	0.07532383714257569	vTL43	0
k45_2	100.0	vTL43	1
k46_1	0.03994253538432799	vTL44	0
k46_2	100.0	vTL44	1
k47_1	0.10844861688269453	vTL45	0
k47_2	100.0	vTL45	1
k48_1	0.11599448207993152	vTL46	0
k48_2	100.0	vTL46	1
k49_1	0.06967413514194061	vTL47	0
k49_2	100.0	vTL47	1
k50_1	0.0771328264584734	vTL48	0
k50_2	100.0	vTL48	1
k51_1	0.10797038905372405	vTL49	0
k51_2	100.0	vTL49	1
k52_1	0.015198030586173156	vTL50	0
k52_2	100.0	vTL50	1
k53_1	1.3023269620872526e-11	vTL51	0
k53_2	100.0	vTL51	1
k54_1	1.5369899489533113e-11	vTL52	0
k54_2	100.0	vTL52	1
k55_1	1.5369899489533113e-11	vTL53	0
k55_2	100.0	vTL53	1
k56_1	1.5369899489533113e-11	vTL54	0
k56_2	100.0	vTL54	1
