gene	Exp GCN	Exp RNA	kGin	kGac	kTCleak	kTCmaxs	kTCd	mRNA params	Exp Protein	Protein_half_life_Schwan_h	Protein_half_life_lit_h	kTLnatSchwan_s	kTLnatLit_s
TP53	2	13.3560209689529	0.005	0.0005	0.0007247048	0.1	1.647056e-05		9844.660774692537			0.0	0.0
MDM2	2	10.7720169120665	0.005	0.0005	0.01654648	0.1	6.016903e-05		0.0			0.0	0.0
PPM1D	1	1.29600203472319	0.005	0.0005	0.0009540314	0.1	8.673013e-05		0.0			0.0	0.0
ATM	2	4.74000744181168	0.005	0.0005	0.0002156772	0.1	1.307134e-05		9648.659871452925	31.95		2.18e-06	0.0
ATR	2	8.24001293682031	0.005	0.0005	0.0001935969	0.1	1.759972e-05		2184.2674386700887	15.93		2.18e-07	0.0
RB1	2	4.5880072031713	0.005	0.0005	0.002812902	0.1	3.008451e-05		50164.56124805167			0.0	0.0
E2F1	2	11.7640184695089	0.005	0.0005	0.004500643	0.1	4.813522e-05		0.0			0.0	0.0
E2F2	2	2.73600429552674	0.005	0.0005	0.007378104	0.1	7.89102e-05		0.0			0.0	0.0
E2F3	3	5.2360082205329	0.005	0.0005	0.007469947	0.1	7.989248e-05		0.0			0.0	0.0
CCND1	2	69.8401096489721	0.005	0.0005	0.0004538279	0.1	1.375292e-05		26559.412953895408	1.31		0.020486111111111	0.0
CCND2	2	0.0120000188400295	0.005	0.0005	7.562257e-05	0.1	1.375292e-05		8.362955608113303	1.31		0.020486111111111	0.0
CCND3	2	37.9400595658935	0.005	0.0005	0.0001512636	0.1	1.375292e-05		26440.87798098505	1.31		0.020486111111111	0.0
CCNE1	2	7.20401131029775	0.005	0.0005	0.01200172	0.1	0.0001283606		0.0			0.0	0.0
CCNE2	0	1.80800283856445	0.005	0.0005	0.01200172	0.1	0.0001283606		0.0			0.0	0.0
SKP2	2	8.3200130624205	0.005	0.0005	0.006383891	0.1	6.827691e-05		0.0			0.0	0.0
CDC25A	2	6.46801015477594	0.005	0.0005	0.00486556	0.1	5.203808e-05		0.0			0.0	0.0
CDC25B	2	26.0320408703041	0.005	0.0005	0.002066885	0.1	2.210573e-05		0.0			0.0	0.0
