gene	Exp GCN	Exp RNA	kGin	kGac	kTCleak	kTCmaxs	kTCd	mRNA params	Exp Protein	Protein_half_life_Schwan_h	Protein_half_life_lit_h	kTLnatSchwan_s	kTLnatLit_s
TP53	2	7	0.005	0.0005	0.0006341165599999999	0.1	1.647056e-05					0.0	0.0
MDM2	2	51	0.005	0.0005	0.016877412915	0.1	6.016903e-05					0.0	0.0
PPM1D	2	2	0.005	0.0005	0.00095403143	0.1	8.673013e-05					0.0	0.0
ATM	2	11	0.005	0.0005	0.0007908160700000001	0.1	1.307134e-05			31.95		2.18e-06	0.0
ATR	2	10	0.005	0.0005	0.0009679846000000001	0.1	1.759972e-05			15.93		2.18e-07	0.0
RB1	2	3	0.005	0.0005	0.002812901685	0.1	3.008451e-05					0.0	0.0
E2F1	2	1	0.005	0.0005	0.00450064307	0.1	4.813522e-05					0.0	0.0
E2F2	2	1	0.005	0.0005	0.0073781037	0.1	7.89102e-05					0.0	0.0
E2F3	2	2	0.005	0.0005	0.007469946880000001	0.1	7.989248e-05					0.0	0.0
CCND1	2	65	0.005	0.0005	0.004916645269714729	0.1	1.375292e-05			1.31		0.020486111111111	0.0
CCND2	2	3	0.005	0.0005	0.00022689954971472906	0.1	1.375292e-05			1.31		0.020486111111111	0.0
CCND3	2	4	0.005	0.0005	0.000302540609714729	0.1	1.375292e-05			1.31		0.020486111111111	0.0
CCNE1	2	1	0.005	0.0005	0.0120017161	0.1	0.0001283606					0.0	0.0
CCNE2	2	4	0.005	0.0005	0.0120017161	0.1	0.0001283606					0.0	0.0
SKP2	2	7	0.005	0.0005	0.006383891085	0.1	6.827691e-05					0.0	0.0
CDC25A	2	1	0.005	0.0005	0.0048655604799999995	0.1	5.203808e-05					0.0	0.0
CDC25B	2	2	0.005	0.0005	0.0020668857549999997	0.1	2.210573e-05					0.0	0.0
CDC25C	2	4	0.005	0.0005	0.007288490495	0.1	7.795177e-05					0.0	0.0
CCNA2	2	4	0.005	0.0005	0.0120017161	0.1	0.0001283606					0.0	0.0
CDKN1B	2	4	0.005	0.0005	0.008373289649999999	0.1	8.95539e-05					0.0	0.0
CDH1	2	0	0.005	0.0005	0.00211297845	0.1	2.25987e-05					0.0	0.0
CCNB1	2	83	0.005	0.0005	0.0120017161	0.1	0.0001283606					0.0	0.0
