Rxn_name	Comp_correction	Ratelaw						
vbR	Cytoplasm	kbR_1+(kbR_2*((pS6K^kbR_3)/((kbR_4^kbR_3)+(pS6K^kbR_3))))	0.0042005	0.04	5	4.864145		
vdR	Cytoplasm	2.22E-06						
vTL1	Nucleus	kTL1_1*m_TP53*(EIF4E/(kTL1_2+EIF4E))	140.7475	100				
vTL2	Nucleus	(kTL2_1+kTL2_2*MDM2pro)*m_MDM2*(EIF4E/(kTL2_3+EIF4E))	5.004356	0.0225196	100			
vTL3	Nucleus	kTL3_1*Wip1pro*m_PPM1D*(EIF4E/(kTL3_2+EIF4E))	0.1563861	100				
vTL4	Cytoplasm	kTL4_1*m_ATM*(EIF4E/(kTL4_2+EIF4E))	0.00453508	100				
vTL5	Cytoplasm	kTL5_1*m_ATR*(EIF4E/(kTL5_2+EIF4E))	0.02177823	100				
vTL6	Nucleus	kTL6*m_RB1	70.1487					
vTL7	Nucleus	kTL7*m_E2F1	4.391771					
vTL8	Nucleus	kTL8*m_E2F2	4.391771					
vTL9	Nucleus	kTL9*m_E2F3	4.391771					
vTL10	Nucleus	(kTL10_1+kTL10_2*E2F*(kTL10_3/(kTL10_3+pRB))*(kTL10_4/(kTL10_4+pRBp)))*m_CCND1*(EIF4E/(kTL10_5+EIF4E))	26.9259	0.0118	10	200	100	
vTL11	Nucleus	(kTL11_1+kTL11_2*E2F*(kTL11_3/(kTL11_3+pRB))*(kTL11_4/(kTL11_4+pRBp)))*m_CCND2*(EIF4E/(kTL11_5+EIF4E))	26.9259	0.0118	10	200	100	
vTL12	Nucleus	(kTL12_1+kTL12_2*E2F*(kTL12_3/(kTL12_3+pRB))*(kTL12_4/(kTL12_4+pRBp)))*m_CCND3*(EIF4E/(kTL12_5+EIF4E))	26.9259	0.0118	10	200	100	
vTL13	Nucleus	kTL13_1*E2F*(kTL13_2/(kTL13_2+pRB))*(kTL13_3/(kTL13_3+pRBp))*m_CCNE1	0.1274	10	200			
vTL14	Nucleus	kTL14_1*E2F*(kTL14_2/(kTL14_2+pRB))*(kTL14_3/(kTL14_3+pRBp))*m_CCNE2	0.1274	10	200			
vTL15	Nucleus	kTL15*m_SKP2	13.1753					
vTL16	Nucleus	kTL16*m_CDC25A	11.4186					
vTL17	Nucleus	kTL17*m_CDC25B	9.2227					
vTL18	Nucleus	kTL18*m_CDC25C	10.5402					
vTL19	Nucleus	kTL19_1*E2F*(kTL19_2/(kTL19_2+pRB))*(kTL19_3/(kTL19_3+pRBp))*m_CCNA2	0.03294	10	200			
vTL20	Nucleus	(kTL20_1+(kTL20_2*E2F*(kTL20_3/(kTL20_3+pRB))*(kTL20_4/(kTL20_4+pRBp))))*m_CDKN1B	70.2683	0.0878	10	200		
vTL21	Nucleus	kTL21*m_CDH1	9.6619					
vTL22	Nucleus	kTL22*m_CCNB1	4.3918					
vTL23	Nucleus	kTL23*m_CDC20	8.7835					
vTL24	Nucleus	kTL24*m_WEE1	5.2701					
vTL25	Cytoplasm	kTL25*m_CHEK1	0.008744					
vTL26	Cytoplasm	kTL26*m_CDKN1A	0.5312					
vTL27	Cytoplasm	kTL27*m_CDK1	0.2635					
vTL28	Cytoplasm	kTL28*m_CDK2	0.1792					
vTL29	Cytoplasm	kTL29*m_CDK4	0.0082295					
vTL30	Cytoplasm	kTL30*m_CDK6	0.296215					
vTL31	Cytoplasm	kTL31_1*m_TNFSF10*(EIF4E/(kTL31_2+EIF4E))	0	100				
vTL32	Cytoplasm	kTL32_1*m_TNFRSF10A*(EIF4E/(kTL32_2+EIF4E))	0.006701184	100				
vTL33	Cytoplasm	kTL33_1*m_TNFRSF10B*(EIF4E/(kTL33_2+EIF4E))	0.006964813	100				
vTL34	Cytoplasm	kTL34_1*m_CFLAR*(EIF4E/(kTL34_2+EIF4E))	0.04560789	100				
vTL35	Cytoplasm	kTL35_1*m_CASP8*(EIF4E/(kTL35_2+EIF4E))	0.03179686	100				
vTL36	Cytoplasm	kTL36_1*m_CASP10*(EIF4E/(kTL36_2+EIF4E))	0.005187646	100				
vTL37	Cytoplasm	kTL37_1*m_BFAR*(EIF4E/(kTL37_2+EIF4E))	0.003010974	100				
vTL38	Cytoplasm	kTL38_1*m_CASP3*(EIF4E/(kTL38_2+EIF4E))	0.02586757	100				
vTL39	Cytoplasm	kTL39_1*m_CASP7*(EIF4E/(kTL39_2+EIF4E))	0.02314422	100				
vTL40	Cytoplasm	kTL40_1*m_CASP6*(EIF4E/(kTL40_2+EIF4E))	0.004237084	100				
vTL41	Cytoplasm	kTL41_1*m_XIAP*(EIF4E/(kTL41_2+EIF4E))	0.1414059	100				
vTL42	Cytoplasm	kTL42_1*m_PARP1*(EIF4E/(kTL42_2+EIF4E))	0.344433	100				
vTL43	Cytoplasm	kTL43_1*m_BID*(EIF4E/(kTL43_2+EIF4E))	0.04293526	100				
vTL44	Cytoplasm	kTL44_1*m_BCL2*(EIF4E/(kTL44_2+EIF4E))	0.02891033	100				
vTL45	Cytoplasm	kTL45_1*m_BCL2L1*(EIF4E/(kTL45_2+EIF4E))	0.1031949	100				
vTL46	Cytoplasm	kTL46_1*m_MCL1*(EIF4E/(kTL46_2+EIF4E))	0.4901751	100				
vTL47	Cytoplasm	kTL47_1*m_BAX*(EIF4E/(kTL47_2+EIF4E))	0.3275386	100				
vTL48	Cytoplasm	kTL48_1*m_CYCS*(EIF4E/(kTL48_2+EIF4E))	0.07033183	100				
vTL49	Cytoplasm	kTL49_1*m_DIABLO*(EIF4E/(kTL49_2+EIF4E))	0.1085227	100				
vTL50	Cytoplasm	kTL50_1*m_APAF1*(EIF4E/(kTL50_2+EIF4E))	0.008024529	100				
vTL51	Cytoplasm	kTL51_1*m_CASP9*(EIF4E/(kTL51_2+EIF4E))	0.02476986	100				
vTL52	Cytoplasm	kTL52_1*m_BAD*(EIF4E/(kTL52_2+EIF4E))	0.1701828	100				
vTL53	Cytoplasm	kTL53_1*m_BBC3*(EIF4E/(kTL53_2+EIF4E))	0.5658597	100				
vTL54	Cytoplasm	kTL54_1*m_PMAIP1*(EIF4E/(kTL54_2+EIF4E))	0.02889506	100				
vTL55	Cytoplasm	kTL55_1*m_BCL2L11*(EIF4E/(kTL55_2+EIF4E))	0.4967611	100				
vTL56	Cytoplasm	kTL56_1*m_EGF*(EIF4E/(kTL56_2+EIF4E))	0.07122388	100				
vTL57	Cytoplasm	kTL57_1*m_NRG1*(EIF4E/(kTL57_2+EIF4E))	0.07122388	100				
vTL58	Cytoplasm	kTL58_1*m_EGFR*(EIF4E/(kTL58_2+EIF4E))	0.5191829	100				
vTL59	Cytoplasm	kTL59_1*m_ERBB2*(EIF4E/(kTL59_2+EIF4E))	0.05307133	100				
vTL60	Cytoplasm	kTL60_1*m_ERBB3*(EIF4E/(kTL60_2+EIF4E))	0.006055101	100				
vTL61	Cytoplasm	kTL61_1*m_ERBB4*(EIF4E/(kTL61_2+EIF4E))	0.01763978	100				
vTL62	Cytoplasm	kTL62_1*m_EGFRvIII*(EIF4E/(kTL62_2+EIF4E))	0.03319824	100				
vTL63	Cytoplasm	kTL63_1*m_MET*(EIF4E/(kTL63_2+EIF4E))	0.01428499	100				
vTL64	Cytoplasm	kTL64_1*m_HGF*(EIF4E/(kTL64_2+EIF4E))	0.07122388	100				
vTL65	Cytoplasm	kTL65_1*m_PDGFRA*(EIF4E/(kTL65_2+EIF4E))	0.03319589	100				
vTL66	Cytoplasm	kTL66_1*m_PDGFRB*(EIF4E/(kTL66_2+EIF4E))	0.03319589	100				
vTL67	Cytoplasm	kTL67_1*m_PDGFB*(EIF4E/(kTL67_2+EIF4E))	0.07122388	100				
vTL68	Cytoplasm	kTL68_1*m_SPRY2*(EIF4E/(kTL68_2+EIF4E))	0.003920992	100				
vTL69	Cytoplasm	kTL69_1*m_CBL*(EIF4E/(kTL69_2+EIF4E))	0.05176996	100				
vTL70	Cytoplasm	kTL70_1*m_GRB2*(EIF4E/(kTL70_2+EIF4E))	0.6184815	100				
vTL71	Cytoplasm	kTL71_1*m_PLCG1*(EIF4E/(kTL71_2+EIF4E))	0.03020566	100				
vTL72	Cytoplasm	kTL72_1*m_PLCG2*(EIF4E/(kTL72_2+EIF4E))	0.03179077	100				
vTL73	Cytoplasm	kTL73_1*m_PIK3CA*(EIF4E/(kTL73_2+EIF4E))	0.01463618	100				
vTL74	Cytoplasm	kTL74_1*m_PIK3CB*(EIF4E/(kTL74_2+EIF4E))	0.01108511	100				
vTL75	Cytoplasm	kTL75_1*m_PIK3CG*(EIF4E/(kTL75_2+EIF4E))	0.002549623	100				
vTL76	Cytoplasm	kTL76_1*m_PIK3CD*(EIF4E/(kTL76_2+EIF4E))	0.002549623	100				
vTL77	Cytoplasm	kTL77_1*m_PIK3R1*(EIF4E/(kTL77_2+EIF4E))	0.0974545	100				
vTL78	Cytoplasm	kTL78_1*m_PIK3R2*(EIF4E/(kTL78_2+EIF4E))	0.00544119	100				
vTL79	Cytoplasm	kTL79_1*m_PIK3R3*(EIF4E/(kTL79_2+EIF4E))	4.92E-05	100				
vTL80	Cytoplasm	kTL80_1*m_PIK3R4*(EIF4E/(kTL80_2+EIF4E))	0.02728923	100				
vTL81	Cytoplasm	kTL81_1*m_PIK3C2A*(EIF4E/(kTL81_2+EIF4E))	0.01395976	100				
vTL82	Cytoplasm	kTL82_1*m_RASGRP1*(EIF4E/(kTL82_2+EIF4E))	0.2953445	100				
vTL83	Cytoplasm	kTL83_1*m_RASGRP3*(EIF4E/(kTL83_2+EIF4E))	0.2953445	100				
vTL84	Cytoplasm	kTL84_1*m_NRAS*(EIF4E/(kTL84_2+EIF4E))	0.03608434	100				
vTL85	Cytoplasm	kTL85_1*m_KRAS*(EIF4E/(kTL85_2+EIF4E))	0.2077922	100				
vTL86	Cytoplasm	kTL86_1*m_HRAS*(EIF4E/(kTL86_2+EIF4E))	1.012784	100				
vTL87	Cytoplasm	kTL87_1*m_NF1*(EIF4E/(kTL87_2+EIF4E))	0.002217992	100				
vTL88	Cytoplasm	kTL88_1*m_RAF1*(EIF4E/(kTL88_2+EIF4E))	0.06589921	100				
vTL89	Cytoplasm	kTL89_1*m_BRAF*(EIF4E/(kTL89_2+EIF4E))	0.03871855	100				
vTL90	Cytoplasm	kTL90_1*m_MAP2K1*(EIF4E/(kTL90_2+EIF4E))	0.2384683	100				
vTL91	Cytoplasm	kTL91_1*m_MAP2K2*(EIF4E/(kTL91_2+EIF4E))	0.407612	100				
vTL92	Cytoplasm	kTL92_1*m_DUSP6*(EIF4E/(kTL92_2+EIF4E))	0.000811183	100				
vTL93	Cytoplasm	kTL93_1*m_RPS6KA1*(EIF4E/(kTL93_2+EIF4E))	0.1455156	100				
vTL94	Cytoplasm	kTL94_1*m_RPS6KA2*(EIF4E/(kTL94_2+EIF4E))	0.007642617	100				
vTL95	Cytoplasm	kTL95_1*m_RPS6KA3*(EIF4E/(kTL95_2+EIF4E))	0.02037869	100				
vTL96	Cytoplasm	kTL96_1*m_RPS6KA4*(EIF4E/(kTL96_2+EIF4E))	0.1264408	100				
vTL97	Cytoplasm	kTL97_1*m_DUSP1*(EIF4E/(kTL97_2+EIF4E))	0.000684513	100				
vTL98	Cytoplasm	kTL98_1*m_FOS*(EIF4E/(kTL98_2+EIF4E))	0.3941679	100				
vTL99	Cytoplasm	kTL99_1*m_JUN*(EIF4E/(kTL99_2+EIF4E))	0.1648827	100				
vTL100	Cytoplasm	kTL100_1*m_MYC*(EIF4E/(kTL100_2+EIF4E))	39.40506	100				
vTL101	Cytoplasm	kTL101_1*m_CTNNB1*(EIF4E/(kTL101_2+EIF4E))	5.20533	100				
vTL102	Cytoplasm	kTL102_1*m_PTEN*(EIF4E/(kTL102_2+EIF4E))	0.000657728	100				
vTL103	Cytoplasm	kTL103_1*m_AKT1*(EIF4E/(kTL103_2+EIF4E))	0.7378095	100				
vTL104	Cytoplasm	kTL104_1*m_AKT2*(EIF4E/(kTL104_2+EIF4E))	0.180917	100				
vTL105	Cytoplasm	kTL105_1*m_PDPK1*(EIF4E/(kTL105_2+EIF4E))	0.122997	100				
vTL106	Cytoplasm	kTL106_1*m_RICTOR*(EIF4E/(kTL106_2+EIF4E))	0.01636325	100				
vTL107	Cytoplasm	kTL107_1*m_MTOR*(EIF4E/(kTL107_2+EIF4E))	0.4239369	100				
vTL108	Cytoplasm	kTL108_1*m_GSK3B*(EIF4E/(kTL108_2+EIF4E))	0.3710793	100				
vTL109	Cytoplasm	kTL109_1*m_TSC1*(EIF4E/(kTL109_2+EIF4E))	0.001418598	100				
vTL110	Cytoplasm	kTL100_1*m_TSC2*(EIF4E/(kTL100_2+EIF4E))	0.01530346	100				
vTL111	Cytoplasm	kTL111_1*m_PRKCA*(EIF4E/(kTL111_2+EIF4E))	0.007713443	100				
vTL112	Cytoplasm	kTL112_1*m_PRKCB*(EIF4E/(kTL112_2+EIF4E))	0.006884487	100				
vTL113	Cytoplasm	kTL113_1*m_PRKCG*(EIF4E/(kTL113_2+EIF4E))	0.006884487	100				
vTL114	Cytoplasm	kTL114_1*m_PRKCD*(EIF4E/(kTL114_2+EIF4E))	0.08877329	100				
vTL115	Cytoplasm	kTL115_1*m_PEBP1*(EIF4E/(kTL115_2+EIF4E))	0.0749669	100				
vTL116	Cytoplasm	kTL116_1*m_MAPK1*(EIF4E/(kTL116_2+EIF4E))	0.6472173	100				
vTL117	Cytoplasm	kTL117_1*m_MAPK3*(EIF4E/(kTL117_2+EIF4E))	0.0877117	100				
vTL118	Cytoplasm	kTL118_1*m_FOXO3*(EIF4E/(kTL118_2+EIF4E))	0.03933951	100				
vTL119	Cytoplasm	kTL119_1*m_RHEB*(EIF4E/(kTL119_2+EIF4E))	0.1285295	100				
vTL120	Cytoplasm	kTL120_1*m_RPTOR*(EIF4E/(kTL120_2+EIF4E))	0.3704438	100				
vTL121	Cytoplasm	kTL121_1*m_RPS6KB1*(EIF4E/(kTL121_2+EIF4E))	0.1502261	100				
