Rxn_name	Comp_correction	Species	Ratelaw						
vbR	Cytoplasm	  ; Ribosome	kbR_1+(kbR_2*((pS6K^kbR_3)/((kbR_4^kbR_3)+(pS6K^kbR_3))))	0.0042005	0.04	5	4.864145		
vdR	Cytoplasm	 Ribosome ; 	2.22E-06						
vTL1	Nucleus	  ; p53inac	kTL1_1*m_TP53*(EIF4E/(kTL1_2+EIF4E))	140.7475	100				
vTL2	Nucleus	  ; MDM2	(kTL2_1+kTL2_2*MDM2pro)*m_MDM2*(EIF4E/(kTL2_3+EIF4E))	5.004356	0.0225196	100			
vTL3	Nucleus	  ; Wip1	kTL3_1*Wip1pro*m_PPM1D*(EIF4E/(kTL3_2+EIF4E))	0.1563861	100				
vTL4	Cytoplasm	  ; ATMinac	kTL4_1*m_ATM*(EIF4E/(kTL4_2+EIF4E))	0.00453508	100				
vTL5	Cytoplasm	  ; ATRinac	kTL5_1*m_ATR*(EIF4E/(kTL5_2+EIF4E))	0.02177823	100				
vTL6	Nucleus	  ; pRB	kTL6*m_RB1	70.1487					
vTL7	Nucleus	  ; E2F	kTL7*m_E2F1	4.391771					
vTL8	Nucleus	  ; E2F	kTL8*m_E2F2	4.391771					
vTL9	Nucleus	  ; E2F	kTL9*m_E2F3	4.391771					
vTL10	Nucleus	  ; Cd	(kTL10_1+kTL10_2*E2F*(kTL10_3/(kTL10_3+pRB))*(kTL10_4/(kTL10_4+pRBp)))*m_CCND1*(EIF4E/(kTL10_5+EIF4E))	26.9259	0.0118	10	200	100	
vTL11	Nucleus	  ; Cd	(kTL11_1+kTL11_2*E2F*(kTL11_3/(kTL11_3+pRB))*(kTL11_4/(kTL11_4+pRBp)))*m_CCND2*(EIF4E/(kTL11_5+EIF4E))	26.9259	0.0118	10	200	100	
vTL12	Nucleus	  ; Cd	(kTL12_1+kTL12_2*E2F*(kTL12_3/(kTL12_3+pRB))*(kTL12_4/(kTL12_4+pRBp)))*m_CCND3*(EIF4E/(kTL12_5+EIF4E))	26.9259	0.0118	10	200	100	
vTL13	Nucleus	  ; Ce	kTL13_1*E2F*(kTL13_2/(kTL13_2+pRB))*(kTL13_3/(kTL13_3+pRBp))*m_CCNE1	0.1274	10	200			
vTL14	Nucleus	  ; Ce	kTL14_1*E2F*(kTL14_2/(kTL14_2+pRB))*(kTL14_3/(kTL14_3+pRBp))*m_CCNE2	0.1274	10	200			
vTL15	Nucleus	  ; Skp2	kTL15*m_SKP2	13.1753					
vTL16	Nucleus	  ; Pei	kTL16*m_CDC25A	11.4186					
vTL17	Nucleus	  ; Pai	kTL17*m_CDC25B	9.2227					
vTL18	Nucleus	  ; Pbi	kTL18*m_CDC25C	10.5402					
vTL19	Nucleus	  ; Ca	kTL19_1*E2F*(kTL19_2/(kTL19_2+pRB))*(kTL19_3/(kTL19_3+pRBp))*m_CCNA2	0.03294	10	200			
vTL20	Nucleus	  ; p27	(kTL20_1+(kTL20_2*E2F*(kTL20_3/(kTL20_3+pRB))*(kTL20_4/(kTL20_4+pRBp))))*m_CDKN1B	70.2683	0.0878	10	200		
vTL21	Nucleus	  ; Cdh1a	kTL21*m_CDH1	9.6619					
vTL22	Nucleus	  ; Cb	kTL22*m_CCNB1	4.3918					
vTL23	Nucleus	  ; Cdc20i	kTL23*m_CDC20	8.7835					
vTL24	Nucleus	  ; Wee1	kTL24*m_WEE1	5.2701					
vTL25	Cytoplasm	  ; Chk1	kTL25*m_CHEK1	0.008744					
vTL26	Cytoplasm	  ; p21	kTL26*m_CDKN1A	0.5312					
vTL31	Cytoplasm	  ; L	kTL31_1*m_TNFSF10*(EIF4E/(kTL31_2+EIF4E))	0	100				
vTL32	Cytoplasm	  ; R	kTL32_1*m_TNFRSF10A*(EIF4E/(kTL32_2+EIF4E))	0.006701184	100				
vTL33	Cytoplasm	  ; R	kTL33_1*m_TNFRSF10B*(EIF4E/(kTL33_2+EIF4E))	0.006964813	100				
vTL34	Cytoplasm	  ; flip	kTL34_1*m_CFLAR*(EIF4E/(kTL34_2+EIF4E))	0.04560789	100				
vTL35	Cytoplasm	  ; pC8	kTL35_1*m_CASP8*(EIF4E/(kTL35_2+EIF4E))	0.03179686	100				
vTL36	Cytoplasm	  ; pC8	kTL36_1*m_CASP10*(EIF4E/(kTL36_2+EIF4E))	0.005187646	100				
vTL37	Cytoplasm	  ; Bar	kTL37_1*m_BFAR*(EIF4E/(kTL37_2+EIF4E))	0.003010974	100				
vTL38	Cytoplasm	  ; pC3	kTL38_1*m_CASP3*(EIF4E/(kTL38_2+EIF4E))	0.02586757	100				
vTL39	Cytoplasm	  ; pC3	kTL39_1*m_CASP7*(EIF4E/(kTL39_2+EIF4E))	0.02314422	100				
vTL40	Cytoplasm	  ; pC6	kTL40_1*m_CASP6*(EIF4E/(kTL40_2+EIF4E))	0.004237084	100				
