species	compartment	IC_Xinitialized	Annotation_ENSEMBL	Annotation_HGNC
Ribosome	Cytoplasm	1.90E+03	GO:0005840	GO:0005840
p53inac	Nucleus	2.97E+02	ENSG00000141510	TP53
p53ac	Nucleus	6.25E+00	ENSG00000141510	TP53
MDM2	Nucleus	2.06E+02	ENSG00000135679	MDM2
Wip1	Nucleus	2.23E+00	ENSG00000170836	PPM1D 
ATMP	Nucleus	0.00E+00	ENSG00000149311	ATM
ATRac	Nucleus	0.00E+00	ENSG00000175054	ATR
MDM2product1	Nucleus	6.25E+00		
MDM2product2	Nucleus	6.25E+00		
MDM2product3	Nucleus	6.25E+00		
MDM2product4	Nucleus	6.25E+00		
MDM2product5	Nucleus	6.25E+00		
MDM2product6	Nucleus	6.25E+00		
MDM2product7	Nucleus	6.25E+00		
MDM2product8	Nucleus	6.25E+00		
MDM2product9	Nucleus	6.25E+00		
MDM2pro	Nucleus	6.25E+00		
Wip1product1	Nucleus	6.25E+00		
Wip1product2	Nucleus	6.25E+00		
Wip1product3	Nucleus	6.25E+00		
Wip1product4	Nucleus	6.25E+00		
Wip1product5	Nucleus	6.25E+00		
Wip1product6	Nucleus	6.25E+00		
Wip1product7	Nucleus	6.25E+00		
Wip1product8	Nucleus	6.25E+00		
Wip1product9	Nucleus	6.25E+00		
Wip1pro	Nucleus	6.25E+00		
BRCA2	Nucleus	8.22E-01	ENSG00000139618	BRCA2
MSH6	Nucleus	4.55E+01	ENSG00000116062	MSH6
MGMT	Nucleus	1.20E+02	ENSG00000170430	MGMT
damageDSB	Nucleus	2.43E-04		
damageSSB	Nucleus	6.03E-06		
ppAKT_MDM2	Nucleus	0.00E+00	ENSG00000142208 ENSG00000105221 ENSG00000135679	AKT1 AKT2 MDM2
pMDM2	Nucleus	0.00E+00	ENSG00000135679	MDM2
ARF	Nucleus	0.00E+00	ENSG00000147889	CDKN2A
MDM4	Nucleus	2.72E-02	ENSG00000198625	MDM4
p53ac_MDM4	Nucleus	0.00E+00	ENSG00000141510 ENSG00000198625	TP53 MDM4
ATMinac	Nucleus	1.50E+00	ENSG00000149311	ATM
ATRinac	Nucleus	2.40E+00	ENSG00000175054	ATR
pRB	Nucleus	8.00E+03	ENSG00000139687	RB1
pRBp	Nucleus	5.36E-01	ENSG00000139687	RB1
pRBpp	Nucleus	6.97E-03	ENSG00000139687	RB1
E2F	Nucleus	1.12E+03	ENSG00000101412 ENSG00000007968 ENSG00000112242	E2F1 E2F2 E2F3
Cd	Nucleus	2.33E-01	ENSG00000110092 ENSG00000118971 ENSG00000112576	CCND1 CCND2 CCND3
Mdi	Nucleus	5.89E-01	ENSG00000110092 ENSG00000118971 ENSG00000112576 ENSG00000135446 ENSG00000105810	CCND1 CCND2 CCND3 CDK4 CDK6
Md	Nucleus	3.85E+00	ENSG00000110092 ENSG00000118971 ENSG00000112576 ENSG00000135446 ENSG00000105810	CCND1 CCND2 CCND3 CDK4 CDK6
Mdp27	Nucleus	7.88E-01	ENSG00000110092 ENSG00000118971 ENSG00000112576 ENSG00000135446 ENSG00000105810 ENSG00000111276	CCND1 CCND2 CCND3 CDK4 CDK6 CDKN1B
Ce	Nucleus	2.55E-01	ENSG00000105173 ENSG00000175305	CCNE1 CCNE2
Mei	Nucleus	8.89E-01	ENSG00000105173 ENSG00000175305 ENSG00000123374	CCNE1 CCNE2 CDK2
Me	Nucleus	2.75E+00	ENSG00000105173 ENSG00000175305 ENSG00000123374	CCNE1 CCNE2 CDK2
Skp2	Nucleus	1.14E+01	ENSG00000145604	SKP2
Mep27	Nucleus	1.12E+00	ENSG00000105173 ENSG00000175305 ENSG00000123374 ENSG00000111276	CCNE1 CCNE2 CDK2 CDKN1B
Pe	Nucleus	1.41E+02	ENSG00000164045	CDC25A
Pai	Nucleus	4.92E+01	ENSG00000101224	CDC25B
Pei	Nucleus	1.60E+01	ENSG00000164045	CDC25A
Pbi	Nucleus	5.53E+01	ENSG00000158402	CDC25C
Ca	Nucleus	4.03E+00	ENSG00000145386	CCNA2
Mai	Nucleus	1.40E+01	ENSG00000145386 ENSG00000123374	CCNA2 CDK2
Ma	Nucleus	5.23E+00	ENSG00000145386 ENSG00000123374	CCNA2 CDK2
Map27	Nucleus	1.28E+00	ENSG00000145386 ENSG00000123374 ENSG00000111276 ENSG00000111276	CCNA2 CDK2 CDKN1B
p27	Nucleus	2.04E+01	ENSG00000111276	CDKN1B
Cdh1i	Nucleus	5.98E-01	ENSG00000039068	CDH1
Cdh1a	Nucleus	1.09E+02	ENSG00000039068	CDH1
E2Fp	Nucleus	1.16E+01	ENSG00000101412 ENSG00000007968 ENSG00000112242	E2F1 E2F2 E2F3
p27p	Nucleus	4.20E+00	ENSG00000111276	CDKN1B
Pa	Nucleus	4.16E+01	ENSG00000101224	CDC25B
Cb	Nucleus	3.44E+00	ENSG00000134057	CCNB1
Mbi	Nucleus	3.90E+00	ENSG00000134057 ENSG00000170312	CCNB1 CDK1
Mb	Nucleus	6.84E-01	ENSG00000134057 ENSG00000170312	CCNB1 CDK1
Cdc20i	Nucleus	7.12E+01	ENSG00000117399	CDC20
Cdc20a	Nucleus	7.30E-01	ENSG00000117399	CDC20
Pb	Nucleus	9.40E+00	ENSG00000158402	CDC25C
Wee1	Nucleus	2.65E+01	ENSG00000166483	WEE1
Wee1p	Nucleus	1.67E+01	ENSG00000166483	WEE1
Mbp27	Nucleus	8.39E-02	ENSG00000134057 ENSG00000170312 ENSG00000111276	CCNB1 CDK1 CDKN1B
Chk1	Nucleus	1.50E-01	ENSG00000149554	CHEK1
pRBc1	Nucleus	8.95E+03	ENSG00000139687 ENSG00000101412 ENSG00000007968 ENSG00000112242	RB1 E2F1 E2F2 E2F3
pRBc2	Nucleus	3.00E-01	ENSG00000139687 ENSG00000101412 ENSG00000007968 ENSG00000112242	RB1 E2F1 E2F2 E2F3
p21	Nucleus	2.09E+01	ENSG00000124762	CDKN1A 
Mdp21	Nucleus	4.83E-01	ENSG00000110092 ENSG00000118971 ENSG00000112576 ENSG00000135446 ENSG00000124762	CCND1 CCND2 CCND3 CDK4 CDK6 CDKN1A
Mep21	Nucleus	2.29E-01	ENSG00000105173 ENSG00000175305 ENSG00000123374 ENSG00000124762	CCNE1 CCNE2 CDK2 CDKN1A
Map21	Nucleus	2.62E-01	ENSG00000145386 ENSG00000123374 ENSG00000124762	CCNA2 CDK2 CDKN1A
Mbp21	Nucleus	1.71E-02	ENSG00000134057 ENSG00000170312 ENSG00000124762	CCNB1 CDK1 CDKN1A
L	Extracellular	2.21E-17	ENSG00000121858	TNFSF10
R	Cytoplasm	8.03E+00	ENSG00000104689 ENSG00000120889	TNFRSF10A TNFRSF10B
L_R	Cytoplasm	2.24E-16	ENSG00000121858 ENSG00000104689 ENSG00000120889	TNFSF10 TNFRSF10A TNFRSF10B
Ractive	Cytoplasm	7.56E-20	ENSG00000104689 ENSG00000120889	TNFRSF10A TNFRSF10B
flip	Cytoplasm	5.26E-01	ENSG00000003402	CFLAR
Ractive_flip	Cytoplasm	1.05E-19	ENSG00000104689 ENSG00000120889 ENSG00000003402	TNFRSF10A TNFRSF10B CFLAR
pC8	Cytoplasm	2.65E+01	ENSG00000064012 ENSG00000003400	CASP8 CASP10
Ractive_pC8	Cytoplasm	6.34E-21	ENSG00000104689 ENSG00000120889 ENSG00000064012 ENSG00000003400	TNFRSF10A TNFRSF10B CASP8 CASP10
