gene	t0	comp	t0stoc
ag_TP53	0.181818182	Nucleus	0
ag_MDM2	0.181818182	Nucleus	0
ag_PPM1D	0.181818182	Nucleus	1
ag_ATM	0.181818182	Cytoplasm	0
ag_ATR	0.181818182	Cytoplasm	0
ag_RB1	0.181818182	Nucleus	1
ag_E2F1	0.181818182	Nucleus	0
ag_E2F2	0.181818182	Nucleus	0
ag_E2F3	0.181818182	Nucleus	1
ag_CCND1	0.181818182	Nucleus	1
ag_CCND2	0.181818182	Nucleus	0
ag_CCND3	0.181818182	Nucleus	0
ag_CCNE1	0.181818182	Nucleus	0
ag_CCNE2	0.181818182	Nucleus	1
ag_SKP2	0.181818182	Nucleus	0
ag_CDC25A	0.181818182	Nucleus	1
ag_CDC25B	0.181818182	Nucleus	0
ag_CDC25C	0.272727273	Nucleus	0
ag_CCNA2	0.181818182	Nucleus	0
ag_CDKN1B	0.181818182	Nucleus	0
ag_CDH1	0.181818182	Nucleus	0
ag_CCNB1	0.181818182	Nucleus	1
ag_CDC20	0.181818182	Nucleus	0
ag_WEE1	0.181818182	Nucleus	0
ag_CHEK1	0.181818182	Cytoplasm	0
ag_CDKN1A	0.181818182	Cytoplasm	0
ag_CDK1	0.181818182	Cytoplasm	0
ag_CDK2	0.181818182	Cytoplasm	0
ag_CDK4	0.181818182	Cytoplasm	0
ag_CDK6	0.181818182	Cytoplasm	0
ag_TNFSF10	0.181818182	Cytoplasm	1
ag_TNFRSF10A	0.181818182	Cytoplasm	0
ag_TNFRSF10B	0.181818182	Cytoplasm	0
ag_CFLAR	0.181818182	Cytoplasm	0
ag_CASP8	0.181818182	Cytoplasm	0
ag_CASP10	0.181818182	Cytoplasm	0
ag_BFAR	0.181818182	Cytoplasm	0
ag_CASP3	0.181818182	Cytoplasm	0
ag_CASP7	0.181818182	Cytoplasm	0
ag_CASP6	0.181818182	Cytoplasm	0
ag_XIAP	0.181818182	Cytoplasm	1
ag_PARP1	0.363636364	Cytoplasm	0
ag_BID	0.181818182	Cytoplasm	0
ag_BCL2	0.181818182	Cytoplasm	0
ag_BCL2L1	0.181818182	Cytoplasm	0
ag_MCL1	0.272727273	Cytoplasm	0
ag_BAX	0.181818182	Cytoplasm	0
ag_CYCS	0.181818182	Cytoplasm	1
ag_DIABLO	0.181818182	Cytoplasm	0
ag_APAF1	0.181818182	Cytoplasm	0
ag_CASP9	0.181818182	Cytoplasm	0
ag_BAD	0.181818182	Cytoplasm	0
ag_BBC3	0.181818182	Cytoplasm	1
ag_PMAIP1	0.181818182	Cytoplasm	0
