kTL_kTLd,Protein_mRNA
0,218
0,5.36
0,0
528.333333333333,528.333
1265,1265
0,2264.5
0,0
0,0
0,115
696.911873189421,0
696.911873189421,0
696.911873189421,0
0,0
0,0
0,0
0,0
0,0
0,820.5
0,1608.8
0,1608
0,7857.67
0,456.368
0,1179.58
0,301.286
350.1,350.1
1920.16666666667,1920.17
29935.6136363636,29935.6
43652.5,43652.5
297.454545454545,297.455
21213.4285714286,21213.4
0,0
1750,1750
1818.84615384615,1818.85
166.3,166.3
9525,9525
1554,1554
73.9978484202561,0
15406.6153846154,15406.6
2678.95652173913,2678.96
5586,5586
3475.2,3475.2
96554,96554
10640.6666666667,10640.7
2193.59559216803,0
7830,7830
1786.38095238095,1786.38
93029,93029
37395.652173913,37395.7
36268.5555555556,36268.6
853,853
7202.5,7202.5
1054.53846153846,1054.54
3329,3329
158.040028254181,0
2407.66666666667,2407.67
2596.85107360013,0
2596.85107360013,0
24061.25,24061.2
3514.25,3514.25
341.058823529412,341.059
1004.28411096996,0
1538.44526805775,0
1531.88888888889,1531.89
2596.85107360013,0
363.126341791759,0
363.126341791759,0
2596.85107360013,0
28.5942157104216,0
5585.66666666667,5585.67
38834,38834
3411,3411
3590,3590
2135,2135
1617,1617
371.91697121492,0
371.91697121492,0
14310.5,14310.5
799,799
7.22222222222222,7.22222
6283,6283
1089.8,1089.8
30598.720437507,0
30598.720437507,0
4224.07142857143,4224.07
16960.875,16960.9
111262.333333333,111262
620.5,620.5
4808.16666666667,4808.17
2825,2825
73625,73625
125846.666666667,125847
6.4001558751454,0
134935,134935
5042.20272118342,0
10713.5,10713.5
38211,38211
6.4001558751454,0
1168.58298312006,0
443,443
23951,23951
20079.6060606061,20079.6
318.826086956522,318.826
74762,74762
27158.6666666667,27158.7
12324.3333333333,12324.3
1586.5,1586.5
18826,18826
44502.3333333333,44502.3
200,200
2007,2007
1703,1703
1519.98021422928,0
1519.98021422928,0
19599.6666666667,19599.7
88798.2162162162,88798.2
124410.666666667,124411
38157.5,38157.5
3023,3023
10741.6129032258,10741.6
10211,10211
16441.6666666667,16441.7
6099.5,6099.5
1420.42105263158,1420.42
592.333333333333,592.333
666.344772010624,0
12.2880107412668,0
196.873627747823,0
196.873627747823,0
2596.85107360013,0
2596.85107360013,0
28273.6842105263,28273.7
70,70
1374,1374
2596.85107360013,0
2596.85107360013,0
1555.33333333333,1555.33
9592.4,9592.4
433.097051274873,0
25350.4,25350.4
341.333333333333,341.333
2596.85107360013,0
