gene	Exp GCN	Exp RNA	kGin	kGac	kTCleak	kTCmaxs	kTCd	Exp Protein	Protein_half_life_Schwan_h	Protein_half_life_lit_h	kTLnatSchwan_s	kTLnatLit_s
TP53	2	8	0.005	0.0005	0.000724705	0.1	1.65E-05	1744			0	0
MDM2	2	50	0.005	0.0005	0.01654648	0.1	6.02E-05	268			0	0
PPM1D	2	2	0.005	0.0005	0.000954031	0.1	8.67E-05	0			0	0
ATM	2	3	0.005	0.0005	0.000215677	0.1	1.31E-05	1585	31.95		2.18E-06	0
ATR	2	2	0.005	0.0005	0.000193597	0.1	1.76E-05	2530	15.93		2.18E-07	0
RB1	2	10	0.005	0.0005	0.002812902	0.1	3.01E-05	22645			0	0
E2F1	2	0	0.005	0.0005	0.004500643	0.1	4.81E-05	0			0	0
E2F2	2	1	0.005	0.0005	0.007378104	0.1	7.89E-05	0			0	0
E2F3	2	2	0.005	0.0005	0.007469947	0.1	7.99E-05	230			0	0
CCND1	2	6	0.005	0.0005	0.000453828	0.1	1.38E-05	0	1.31		0.020486111	0
CCND2	2	1	0.005	0.0005	7.56E-05	0.1	1.38E-05	0	1.31		0.020486111	0
CCND3	2	2	0.005	0.0005	0.000151264	0.1	1.38E-05	0	1.31		0.020486111	0
CCNE1	2	1	0.005	0.0005	0.01200172	0.1	0.000128361	0			0	0
CCNE2	2	2	0.005	0.0005	0.01200172	0.1	0.000128361	0			0	0
SKP2	2	2	0.005	0.0005	0.006383891	0.1	6.83E-05	0			0	0
CDC25A	2	1	0.005	0.0005	0.00486556	0.1	5.20E-05	0			0	0
CDC25B	2	1	0.005	0.0005	0.002066885	0.1	2.21E-05	0			0	0
CDC25C	3	10	0.005	0.0005	0.004858994	0.1	7.80E-05	8205			0	0
CCNA2	2	5	0.005	0.0005	0.01200172	0.1	0.000128361	8044			0	0
CDKN1B	2	2	0.005	0.0005	0.00837329	0.1	8.96E-05	3216			0	0
CDH1	2	15	0.005	0.0005	0.002112978	0.1	2.26E-05	117865			0	0
CCNB1	2	87	0.005	0.0005	0.01200172	0.1	0.000128361	39704			0	0
CDC20	2	12	0.005	0.0005	0.002000286	0.1	2.14E-05	14155			0	0
WEE1	2	7	0.005	0.0005	0.008109267	0.1	8.67E-05	2109			0	0
CHEK1	2	10	0.005	0.0005	0.003061662	0.1	3.27E-05	3501	7.71		0	0
CDKN1A	2	12	0.005	0.0005	0.01268336	0.1	0.000192541	23042	14.78	0.5	0.008680556	0
CDK1	2	44	0.005	0.0005	0.005235381	0.1	2.16E-05	1317167	21.88		0	0
CDK2	2	2	0.005	0.0005	0.000448718	0.1	4.08E-05	87305	46.9		0	0
CDK4	2	11	0.005	0.0005	0.00111046	0.1	1.84E-05	3272	6.96		0	0
CDK6	2	7	0.005	0.0005	0.001594156	0.1	4.14E-05	148494	13.79		0	0
TNFSF10	2	0	0.005	0.0005	0	0	0	0			0	0
TNFRSF10A	2	1	0.005	0.0005	0.000338331	0.1	6.15E-05	1750	71.62		0.079633333	0
TNFRSF10B	2	13	0.005	0.0005	0.004398298	0.1	6.15E-05	23645	71.62		0.079633333	0
CFLAR	2	10	0.005	0.0005	0.002909272	0.1	5.29E-05	1663	22.53	1	0.018180556	0
CASP8	2	8	0.005	0.0005	0.001433469	0.1	3.26E-05	76200	82.29		0.017188889	0
CASP10	2	5	0.005	0.0005	0.000895918	0.1	3.26E-05	7770	82.29		0.017188889	0
BFAR	2	36	0.005	0.0005	0.01162289	0.1	5.87E-05	0	6.74		0.002113889	0
CASP3	2	13	0.005	0.0005	0.002195642	0.1	3.07E-05	200286	163.37		0.141213889	0
CASP7	2	23	0.005	0.0005	0.003805691	0.1	3.01E-05	61616	31.75		0.021286111	0
CASP6	2	27	0.005	0.0005	0.003387716	0.1	2.28E-05	150822	361.84		0.073641667	0
XIAP	2	5	0.005	0.0005	0.00201326	0.1	7.32E-05	17376	6.74		0.002113889	0
PARP1	4	21	0.005	0.0005	0.000605953	0.1	1.05E-05	2027634	76.88		0.046502778	0
BID	2	15	0.005	0.0005	0.002525377	0.1	3.06E-05	159610	67.97		0.097730556	0
BCL2	2	0	0.005	0.0005	0	0	7.03E-05	0	20.82		0.020286111	0
BCL2L1	2	3	0.005	0.0005	0.000577623	0.1	3.50E-05	23490	20.82		0.020286111	0
MCL1	3	21	0.005	0.0005	0.005930259	0.1	7.70E-05	37514	20.82	1	0.020286111	0
BAX	2	3	0.005	0.0005	0.000311769	0.1	1.89E-05	279087	77.91		0.095627778	0
CYCS	2	92	0.005	0.0005	0.009860899	0.1	1.95E-05	3440400	145.82		0.078713889	0
DIABLO	2	9	0.005	0.0005	0.000609385	0.1	1.23E-05	326417	91.69		0.025075	0
APAF1	2	2	0.005	0.0005	0.000353581	0.1	3.21E-05	1706	31.77		0.079963889	0
CASP9	2	2	0.005	0.0005	0.000352992	0.1	3.21E-05	14405	82.29		0.017188889	0
BAD	2	13	0.005	0.0005	0.001349674	0.1	1.89E-05	13709	20.82		0.020286111	0
BBC3	2	1	0.005	0.0005	0.000444947	0.1	8.09E-05	3329	20.82	7	0.020286111	0
PMAIP1	2	4	0.005	0.0005	0.001817983	0.1	8.26E-05	0	20.82	1.5	0.020286111	0
BCL2L11	2	3	0.005	0.0005	0.00120157	0.1	8.26E-05	7223	20.82	3	0.020286111	0
EGF	2	0	0.005	0.0005	0	0	1.93E-05	0		10	0	0.05
NRG1	2	0	0.005	0.0005	0	0	1.93E-05	0		10	0	0.05
EGFR	2	8	0.005	0.0005	0.000966957	0.1	2.31E-05	192490	12.71		0.023305556	0
