gene	Exp GCN	Exp RNA	kGin	kGac	kTCleak	kTCmaxs	kTCd	mRNA params	Exp Protein	Protein_half_life_Schwan_h	Protein_half_life_lit_h	kTLnatSchwan_s	kTLnatLit_s
TP53	2	8	0.005	0.0005	0.0007247048	0.1	1.647056e-05		1744			0.0	0.0
MDM2	2	50	0.005	0.0005	0.01654648	0.1	6.016903e-05		268			0.0	0.0
PPM1D	2	2	0.005	0.0005	0.0009540314	0.1	8.673013e-05		0			0.0	0.0
ATM	2	3	0.005	0.0005	0.0002156772	0.1	1.307134e-05		1585	31.95		2.18e-06	0.0
ATR	2	2	0.005	0.0005	0.0001935969	0.1	1.759972e-05		2530	15.93		2.18e-07	0.0
RB1	2	10	0.005	0.0005	0.002812902	0.1	3.008451e-05		22645			0.0	0.0
E2F1	2	0	0.005	0.0005	0.004500643	0.1	4.813522e-05		0			0.0	0.0
E2F2	2	1	0.005	0.0005	0.007378104	0.1	7.89102e-05		0			0.0	0.0
E2F3	2	2	0.005	0.0005	0.007469947	0.1	7.989248e-05		230			0.0	0.0
CCND1	2	6	0.005	0.0005	0.0004538279	0.1	1.375292e-05		0	1.31		0.020486111111111	0.0
CCND2	2	1	0.005	0.0005	7.562257e-05	0.1	1.375292e-05		0	1.31		0.020486111111111	0.0
CCND3	2	2	0.005	0.0005	0.0001512636	0.1	1.375292e-05		0	1.31		0.020486111111111	0.0
CCNE1	2	1	0.005	0.0005	0.01200172	0.1	0.0001283606		0			0.0	0.0
CCNE2	2	2	0.005	0.0005	0.01200172	0.1	0.0001283606		0			0.0	0.0
SKP2	2	2	0.005	0.0005	0.006383891	0.1	6.827691e-05		0			0.0	0.0
CDC25A	2	1	0.005	0.0005	0.00486556	0.1	5.203808e-05		0			0.0	0.0
CDC25B	2	1	0.005	0.0005	0.002066885	0.1	2.210573e-05		0			0.0	0.0
CDC25C	3	10	0.005	0.0005	0.004858994	0.1	7.795177e-05		8205			0.0	0.0
CCNA2	2	5	0.005	0.0005	0.01200172	0.1	0.0001283606		8044			0.0	0.0
CDKN1B	2	2	0.005	0.0005	0.00837329	0.1	8.95539e-05		3216			0.0	0.0
CDH1	2	15	0.005	0.0005	0.002112978	0.1	2.25987e-05		117865			0.0	0.0
CCNB1	2	87	0.005	0.0005	0.01200172	0.1	0.0001283606		39704			0.0	0.0
CDC20	2	12	0.005	0.0005	0.002000286	0.1	2.139343e-05		14155			0.0	0.0
WEE1	2	7	0.005	0.0005	0.008109267	0.1	8.673013e-05		2109			0.0	0.0
CHEK1	2	10	0.005	0.0005	0.003061662	0.1	3.274505e-05		3501	7.71		0.0	0.0
CDKN1A	2	12	0.005	0.0005	0.01268336	0.1	0.0001925409		23042	14.78	0.5	0.008680555555556	0.0
CDK1	2	44	0.005	0.0005	0.005235381	0.1	2.163381e-05		1317167	21.88		0.0	0.0
CDK2	2	2	0.005	0.0005	0.0004487182	0.1	4.079256e-05		87305	46.9		0.0	0.0
CDK4	2	11	0.005	0.0005	0.00111046	0.1	1.835471e-05		3272	6.96		0.0	0.0
CDK6	2	7	0.005	0.0005	0.001594156	0.1	4.140664e-05		148494	13.79		0.0	0.0
TNFSF10	2	0	0.005	0.0005	0.0	0.0	0.0		0			0.0	0.0
TNFRSF10A	2	1	0.005	0.0005	0.0003383306	0.1	6.151466e-05		1750	71.62		0.079633333333333	0.0
TNFRSF10B	2	13	0.005	0.0005	0.004398298	0.1	6.151466e-05		23645	71.62		0.079633333333333	0.0
CFLAR	2	10	0.005	0.0005	0.002909272	0.1	5.289585e-05		1663	22.53	1.0	0.018180555555556	0.0
CASP8	2	8	0.005	0.0005	0.001433469	0.1	3.257883e-05		76200	82.29		0.017188888888889	0.0
CASP10	2	5	0.005	0.0005	0.0008959178	0.1	3.257883e-05		7770	82.29		0.017188888888889	0.0
BFAR	2	36	0.005	0.0005	0.01162289	0.1	5.870149e-05		0	6.74		0.002113888888889	0.0
CASP3	2	13	0.005	0.0005	0.002195642	0.1	3.070827e-05		200286	163.37		0.141213888888889	0.0
CASP7	2	23	0.005	0.0005	0.003805691	0.1	3.008451e-05		61616	31.75		0.021286111111111	0.0
CASP6	2	27	0.005	0.0005	0.003387716	0.1	2.28129e-05		150822	361.84		0.073641666666667	0.0
XIAP	2	5	0.005	0.0005	0.00201326	0.1	7.320946e-05		17376	6.74		0.002113888888889	0.0
PARP1	4	21	0.005	0.0005	0.0006059529	0.1	1.049269e-05		2027634	76.88		0.046502777777778	0.0
BID	2	15	0.005	0.0005	0.002525377	0.1	3.061063e-05		159610	67.97		0.097730555555556	0.0
BCL2	2	0	0.005	0.0005	0.0	0.0	7.02704e-05		0	20.82		0.020286111111111	0.0
BCL2L1	2	3	0.005	0.0005	0.0005776227	0.1	3.500743e-05		23490	20.82		0.020286111111111	0.0
MCL1	3	21	0.005	0.0005	0.005930259	0.1	7.701635e-05		37514	20.82	1.0	0.020286111111111	0.0
BAX	2	3	0.005	0.0005	0.0003117688	0.1	1.889508e-05		279087	77.91		0.095627777777778	0.0
CYCS	2	92	0.005	0.0005	0.009860899	0.1	1.948794e-05		3440400	145.82		0.078713888888889	0.0
DIABLO	2	9	0.005	0.0005	0.0006093845	0.1	1.23108e-05		326417	91.69		0.025075	0.0
APAF1	2	2	0.005	0.0005	0.0003535809	0.1	3.214372e-05		1706	31.77		0.079963888888889	0.0
CASP9	2	2	0.005	0.0005	0.0003529916	0.1	3.209015e-05		14405	82.29		0.017188888888889	0.0
BAD	2	13	0.005	0.0005	0.001349674	0.1	1.887656e-05		13709	20.82		0.020286111111111	0.0
BBC3	2	1	0.005	0.0005	0.0004449474	0.1	8.089953e-05		3329	20.82	7.0	0.020286111111111	0.0
PMAIP1	2	4	0.005	0.0005	0.001817983	0.1	8.263557e-05		0	20.82	1.5	0.020286111111111	0.0
BCL2L11	2	3	0.005	0.0005	0.00120157	0.1	8.263557e-05		7223	20.82	3.0	0.020286111111111	0.0
EGF	2	0	0.005	0.0005	0.0	0.0	1.925409e-05		0		10.0	0.0	0.05
NRG1	2	0	0.005	0.0005	0.0	0.0	1.925409e-05		0		10.0	0.0	0.05
EGFR	2	8	0.005	0.0005	0.0009669568	0.1	2.314193e-05		192490	12.71		0.023305555555556	0.0
ERBB2	2	4	0.005	0.0005	0.0003487022	0.1	1.818139e-05		14057	18.52		0.001461111111111	0.0
ERBB3	2	17	0.005	0.0005	0.001852738	0.1	2.036392e-05		5798	15.615		0.012383333333333	0.0
ERBB4	2	0	0.005	0.0005	0.0	0.0	2.036392e-05		60	15.615		0.012383333333333	0.0
EGFRvIII	2	0	0.005	0.0005	0.0	0.0	2.314193e-05		0	12.71		0.023305555555556	0.0
MET	2	18	0.005	0.0005	0.001788629	0.1	1.858503e-05		27574	29.41		0.001288888888889	0.0
HGF	2	0	0.005	0.0005	0.0	0.0	1.925409e-05		0		10.0	0.0	0.05
PDGFRA	2	1	0.005	0.0005	0.0002349211	0.1	5.203808e-05		0	29.41	3.0	0.023305555555556	0.0
PDGFRB	3	1	0.005	0.0005	0.000139518	0.1	5.203808e-05		0	29.41	3.0	0.023305555555556	0.0
PDGFB	2	0	0.005	0.0005	0.0	0.0	1.925409e-05		0		10.0	0.0	0.05
SPRY2	2	2	0.005	0.0005	0.00313867	0.1	0.0002873745		0	29.59	2.0	0.002752777777778	0.0
CBL	2	3	0.005	0.0005	0.0006997631	0.1	4.240989e-05		16757	29.59		0.002752777777778	0.0
GRB2	2	5	0.005	0.0005	0.0006266123	0.1	2.27859e-05		194170	17.22		0.253066666666667	0.0
PLCG1	2	1	0.005	0.0005	0.0001012404	0.1	1.840735e-05		3411	30.97		0.004558333333333	0.0
PLCG2	2	1	0.005	0.0005	0.0001012404	0.1	1.840735e-05		3590	30.97		0.004558333333333	0.0
PIK3CA	2	2	0.005	0.0005	0.0006702373	0.1	6.093066e-05		4270	40.03		0.001788888888889	0.0
PIK3CB	2	2	0.005	0.0005	0.0006457164	0.1	5.870149e-05		3234	40.03		0.001788888888889	0.0
PIK3CG	2	0	0.005	0.0005	0.0	0.0	6.418029e-05		0	40.03		0.001788888888889	0.0
PIK3CD	2	0	0.005	0.0005	0.0	0.0	4.307402e-05		0	40.03		0.001788888888889	0.0
PIK3R1	2	2	0.005	0.0005	0.0008273241	0.1	7.521128e-05		28621	41.08		0.005330555555556	0.0
PIK3R2	2	1	0.005	0.0005	0.0001033146	0.1	1.878448e-05		799	41.08		0.005330555555556	0.0
PIK3R3	2	9	0.005	0.0005	0.003858613	0.1	7.795177e-05		65	41.08		0.005330555555556	0.0
PIK3R4	2	1	0.005	0.0005	0.0002084596	0.1	3.790175e-05		6283	64.41		0.063455555555556	0.0
PIK3C2A	2	5	0.005	0.0005	0.0007097687	0.1	2.580977e-05		5449	21.41		0.008227777777778	0.0
RASGRP1	2	0	0.005	0.0005	0.0	0.0	7.405419e-05		0	28.4133333333333		0.20735	0.0
RASGRP3	2	1	0.005	0.0005	0.000407298	0.1	7.405419e-05		0	28.4133333333333		0.20735	0.0
NRAS	2	14	0.005	0.0005	0.001503615	0.1	1.952747e-05		59137	32.34		0.20735	0.0
KRAS	2	8	0.005	0.0005	0.001379772	0.1	3.135845e-05		135687	22.55		0.20735	0.0
HRAS	2	3	0.005	0.0005	0.0001575855	0.1	9.550639e-06		333787	30.35		0.20735	0.0
NF1	2	4	0.005	0.0005	0.0005091225	0.1	2.314193e-05		2482	77.35		0.004455555555556	0.0
RAF1	2	6	0.005	0.0005	0.0008083778	0.1	2.44963e-05		28849	20.01		0.000791666666667	0.0
BRAF	2	1	0.005	0.0005	0.0003966198	0.1	7.211269e-05		2825	20.01		0.000791666666667	0.0
MAP2K1	2	2	0.005	0.0005	0.0002398584	0.1	2.180531e-05		147250	86.8		0.239638888888889	0.0
MAP2K2	2	3	0.005	0.0005	0.0002888113	0.1	1.750372e-05		377540	86.8		0.239638888888889	0.0
DUSP6	2	1	0.005	0.0005	0.007120649	0.1	0.001333386		0	10.98	0.75	0.001643055555556	0.0
RPS6KA1	2	1	0.005	0.0005	8.680122e-05	0.1	1.578204e-05		134935	90.15		0.026494444444445	0.0
RPS6KA2	2	2	0.005	0.0005	0.0001813313	0.1	1.648466e-05		0	64.14		0.015136111111111	0.0
RPS6KA3	2	4	0.005	0.0005	0.0005146901	0.1	2.3395e-05		42854	51.11		0.005936111111111	0.0
RPS6KA4	2	1	0.005	0.0005	9.281112e-05	0.1	1.687475e-05		38211	29.38		0.003269444444444	0.0
DUSP1	3	3	0.005	0.0005	0.01445427	0.1	0.001333386		0	10.98	0.75	0.001643055555556	0.0
FOS	2	3	0.005	0.0005	0.01869899	0.1	0.001333386		0	14.42	0.75	0.065258333333333	0.3
JUN	2	7	0.005	0.0005	0.02217217	0.1	0.0005776804		3101	14.42	2.1667	0.065258333333333	0.0
MYC	3	2	0.005	0.0005	0.001724363	0.1	0.0002406761		47902	14.42	0.5	0.065258333333333	0.0
CTNNB1	2	33	0.005	0.0005	0.003217879	0.1	1.772936e-05		662627	14.42		0.065258333333333	0.0
PTEN	2	23	0.005	0.0005	0.002055394	0.1	1.624818e-05		7333	132.94		0.006061111111111	0.0
AKT1	2	1	0.005	0.0005	6.622732e-05	0.1	1.204133e-05		74762	27.79		0.005794444444444	0.0
AKT2	2	3	0.005	0.0005	0.0002335974	0.1	1.415742e-05		81476	41.17		0.002541666666667	0.0
PDPK1	2	3	0.005	0.0005	0.0004987323	0.1	3.02262e-05		36973	27.48		0.006997222222222	0.0
RICTOR	2	4	0.005	0.0005	0.001379772	0.1	6.27169e-05		6346	26.59		0.011927777777778	0.0
MTOR	2	1	0.005	0.0005	6.727922e-05	0.1	1.223258e-05		18826	37.35		0.003486111111111	0.0
GSK3B	2	3	0.005	0.0005	0.0004685729	0.1	2.839836e-05		133507	32.89		0.087380555555556	0.0
TSC1	2	4	0.005	0.0005	0.0007457569	0.1	3.389804e-05		800	52.3		0.001513888888889	0.0
TSC2	2	1	0.005	0.0005	6.698133e-05	0.1	1.217842e-05		2007	35.97		0.000405555555556	0.0
PRKCA	2	2	0.005	0.0005	0.0002937517	0.1	2.67047e-05		3406	60.55		0.004833333333333	0.0
PRKCB	2	1	0.005	0.0005	0.0001468758	0.1	2.67047e-05		0	60.55		0.004833333333333	0.0
PRKCG	2	0	0.005	0.0005	0.0	0.0	2.67047e-05		0	60.55		0.004833333333333	0.0
PRKCD	2	3	0.005	0.0005	0.0004406275	0.1	2.67047e-05		58799	60.55		0.004833333333333	0.0
PEBP1	2	37	0.005	0.0005	0.002270108	0.1	1.115532e-05		3285534	324.85		0.180222222222222	0.0
MAPK1	2	6	0.005	0.0005	0.0006437537	0.1	1.950769e-05		746464	53.2		0.441577777777778	0.0
MAPK3	2	2	0.005	0.0005	0.0001848124	0.1	1.680112e-05		76315	120.4		0.0377	0.0
FOXO3	2	4	0.005	0.0005	0.00177979	0.1	8.089953e-05		12092	46.45		0.033563888888889	0.0
RHEB	2	31	0.005	0.0005	0.004241372	0.1	2.487608e-05		332990	22.92		0.113625	0.0
RPTOR	2	1	0.005	0.0005	7.657085e-05	0.1	1.392197e-05		10211	7.56		0.011927777777778	0.0
RPS6KB1	2	3	0.005	0.0005	0.0003340615	0.1	2.024615e-05		49325	30.03		0.0113	0.0
RPS6KB2	2	2	0.005	0.0005	0.0002227076	0.1	2.024615e-05		12199	30.03		0.0113	0.0
EIF4EBP1	2	38	0.005	0.0005	0.004695571	0.1	2.246685e-05		53976	6.36		0.124511111111111	0.0
SOS1	2	3	0.005	0.0005	0.0004213428	0.1	2.553593e-05		1777	38.51		0.008944444444444	0.0
CDKN2A	0	0	0.005	0.0005	0.0	0.0	1.747195e-05		0	14.78		0.008680555555556	0.0
MDM4	4	7	0.005	0.0005	0.001260684	0.1	6.54901e-05		0	0.74		0.003197222222222	0.0
FGFR1	2	1	0.005	0.0005	4.7221e-05	0.1	1.791078e-05		0	29.41		0.001288888888889	0.0
FGFR2	2	2	0.005	0.0005	0.0008061812	0.1	7.795177e-05		0	29.41		0.001288888888889	0.0
FGF1	3	0	0.005	0.0005	0.0	0.0	1.925409e-05		0		10.0	0.0	0.05
FGF2	2	0	0.005	0.0005	0.0	0.0	1.925409e-05		0		10.0	0.0	0.05
EIF4E	2	38	0.005	0.0005	0.003925956	0.1	1.878448e-05		1074400	115.62		0.400219444444445	0.0
IRS1	2	3	0.005	0.0005	0.0009775153	0.1	5.924335e-05		210	3.31		0.003163888888889	0.0
IRS2	2	2	0.005	0.0005	0.0006516768	0.1	5.924335e-05		2748	3.31		0.003163888888889	0.0
IGF1	2	0	0.005	0.0005	0.0	0.0	1.925409e-05		0		10.0	0.0	0.05
IGF2	2	0	0.005	0.0005	0.0	0.0	1.925409e-05		0		10.0	0.0	0.05
IGF1R	2	3	0.005	0.0005	0.0009972017	0.1	6.354485e-05		4666	29.41		0.001288888888889	0.0
MSH6	2	5	0.005	0.0005	0.0007395076	0.1	2.689118e-05		47962	34.73		0.033355555555556	0.0
BRCA2	2	2	0.005	0.0005	0.000295803	0.1	2.689118e-05		0	34.73	2.5	0.033355555555556	0.0
MGMT	2	5	0.005	0.0005	0.0004126948	0.1	1.500708e-05		126752	34.36		0.033355555555556	0.0
INSR	2	6	0.005	0.0005	0.001599062	0.1	5.001062e-05		2048	29.41	6.7	0.001288888888889	0.0
INS	2	0	0.005	0.0005	0.0	0.0	1.925409e-05		0		10.0	0.0	0.05
