gene,Exp GCN,Exp RNA,kGin,kGac,kTCleak,kTCmaxs,kTCd,mRNA params,Exp Protein,Protein_half_life_Schwan_h,Protein_half_life_lit_h,kTLnatSchwan_s,kTLnatLit_s
TP53,2,7,0.005,0.0005,0.0007247048,0.1,1.647056E-05,,,,,0,0
MDM2,2,51,0.005,0.0005,0.01654648,0.1,6.016903E-05,,,,,0,0
PPM1D,2,2,0.005,0.0005,0.0009540314,0.1,8.673013E-05,,,,,0,0
ATM,2,11,0.005,0.0005,0.0002156772,0.1,1.307134E-05,,,31.95,,2.18E-06,0
ATR,2,10,0.005,0.0005,0.0001935969,0.1,1.759972E-05,,,15.93,,2.18E-07,0
RB1,2,3,0.005,0.0005,0.002812902,0.1,3.008451E-05,,,,,0,0
E2F1,2,1,0.005,0.0005,0.004500643,0.1,4.813522E-05,,,,,0,0
E2F2,2,1,0.005,0.0005,0.007378104,0.1,7.89102E-05,,,,,0,0
E2F3,2,2,0.005,0.0005,0.007469947,0.1,7.989248E-05,,,,,0,0
CCND1,2,65,0.005,0.0005,0.0004538279,0.1,1.375292E-05,,,1.31,,0.020486111111111,0
CCND2,2,3,0.005,0.0005,7.562257E-05,0.1,1.375292E-05,,,1.31,,0.020486111111111,0
CCND3,2,4,0.005,0.0005,0.0001512636,0.1,1.375292E-05,,,1.31,,0.020486111111111,0
CCNE1,2,1,0.005,0.0005,0.01200172,0.1,0.0001283606,,,,,0,0
CCNE2,2,4,0.005,0.0005,0.01200172,0.1,0.0001283606,,,,,0,0
SKP2,2,7,0.005,0.0005,0.006383891,0.1,6.827691E-05,,,,,0,0
CDC25A,2,1,0.005,0.0005,0.00486556,0.1,5.203808E-05,,,,,0,0
CDC25B,2,2,0.005,0.0005,0.002066885,0.1,2.210573E-05,,,,,0,0
CDC25C,2,4,0.005,0.0005,0.004858994,0.1,7.795177E-05,,,,,0,0
CCNA2,2,4,0.005,0.0005,0.01200172,0.1,0.0001283606,,,,,0,0
CDKN1B,2,4,0.005,0.0005,0.00837329,0.1,8.95539E-05,,,,,0,0
CDH1,2,0,0.005,0.0005,0.002112978,0.1,2.25987E-05,,,,,0,0
CCNB1,2,83,0.005,0.0005,0.01200172,0.1,0.0001283606,,,,,0,0
CDC20,2,7,0.005,0.0005,0.002000286,0.1,2.139343E-05,,,,,0,0
WEE1,2,3,0.005,0.0005,0.008109267,0.1,8.673013E-05,,,,,0,0
CHEK1,2,7,0.005,0.0005,0.003061662,0.1,3.274505E-05,,,7.71,,0,0
CDKN1A,2,15,0.005,0.0005,0.01268336,0.1,0.0001925409,,,14.78,0.5,0.008680555555556,0
CDK1,2,35,0.005,0.0005,0.005235381,0.1,2.163381E-05,,,21.88,,0,0
CDK2,2,4,0.005,0.0005,0.0004487182,0.1,4.079256E-05,,,46.9,,0,0
CDK4,2,36,0.005,0.0005,0.00111046,0.1,1.835471E-05,,,6.96,,0,0
CDK6,2,3,0.005,0.0005,0.001594156,0.1,4.140664E-05,,,13.79,,0,0
TNFSF10,2,0,0.005,0.0005,0,0,0,,,,,0,0
TNFRSF10A,2,1,0.005,0.0005,0.0003383306,0.1,6.151466E-05,,,71.62,,0.079633333333333,0
TNFRSF10B,2,12,0.005,0.0005,0.004398298,0.1,6.151466E-05,,,71.62,,0.079633333333333,0
CFLAR,2,18,0.005,0.0005,0.002909272,0.1,5.289585E-05,,,22.53,1,0.018180555555556,0
CASP8,2,10,0.005,0.0005,0.001433469,0.1,3.257883E-05,,,82.29,,0.017188888888889,0
CASP10,2,3,0.005,0.0005,0.0008959178,0.1,3.257883E-05,,,82.29,,0.017188888888889,0
BFAR,2,23,0.005,0.0005,0.01162289,0.1,5.870149E-05,,,6.74,,0.002113888888889,0
CASP3,2,17,0.005,0.0005,0.002195642,0.1,3.070827E-05,,,163.37,,0.141213888888889,0
CASP7,2,9,0.005,0.0005,0.003805691,0.1,3.008451E-05,,,31.75,,0.021286111111111,0
CASP6,2,24,0.005,0.0005,0.003387716,0.1,2.28129E-05,,,361.84,,0.073641666666667,0
XIAP,2,29,0.005,0.0005,0.00201326,0.1,7.320946E-05,,,6.74,,0.002113888888889,0
PARP1,2,25,0.005,0.0005,0.0006059529,0.1,1.049269E-05,,,76.88,,0.046502777777778,0
BID,2,14,0.005,0.0005,0.002525377,0.1,3.061063E-05,,,67.97,,0.097730555555556,0
BCL2,2,1,0.005,0.0005,0,0,7.02704E-05,,,20.82,,0.020286111111111,0
BCL2L1,2,3,0.005,0.0005,0.0005776227,0.1,3.500743E-05,,,20.82,,0.020286111111111,0
MCL1,2,9,0.005,0.0005,0.005930259,0.1,7.701635E-05,,,20.82,1,0.020286111111111,0
BAX,2,4,0.005,0.0005,0.0003117688,0.1,1.889508E-05,,,77.91,,0.095627777777778,0
CYCS,2,327,0.005,0.0005,0.009860899,0.1,1.948794E-05,,,145.82,,0.078713888888889,0
DIABLO,2,10,0.005,0.0005,0.0006093845,0.1,1.23108E-05,,,91.69,,0.025075,0
APAF1,2,2,0.005,0.0005,0.0003535809,0.1,3.214372E-05,,,31.77,,0.079963888888889,0
CASP9,2,2,0.005,0.0005,0.0003529916,0.1,3.209015E-05,,,82.29,,0.017188888888889,0
BAD,2,18,0.005,0.0005,0.001349674,0.1,1.887656E-05,,,20.82,,0.020286111111111,0
BBC3,2,1,0.005,0.0005,0.0004449474,0.1,8.089953E-05,,,20.82,7,0.020286111111111,0
PMAIP1,2,11,0.005,0.0005,0.001817983,0.1,8.263557E-05,,,20.82,1.5,0.020286111111111,0
BCL2L11,2,1,0.005,0.0005,0.00120157,0.1,8.263557E-05,,,20.82,3,0.020286111111111,0
EGF,2,0,0.005,0.0005,0,0,1.925409E-05,,,,10,0,0.05
NRG1,2,0,0.005,0.0005,0,0,1.925409E-05,,,,10,0,0.05
